codigo_materia_prima;descricao_materia_prima;consumo_mp_12_meses;consumo_mp_6_meses;consumo_mp_3_meses;media_12_meses;media_6_meses;media_3_meses;maior_media
401108;PARAFUSO PLASTIC PAN PHS 5 X 25MM ZI;557716,0;263085,0;134121,0;46476,3333;43847,5;44707,0;46476,3333
401068;ARRUELA LISA 1/4 FE ZI;336872,0;152186,0;80778,0;28072,6667;25364,3333;26926,0;28072,6667
401169;PF JMP PAN PHS 3,5X14MM ZI;248168,0;101004,0;49362,0;20680,6667;16834,0;16454,0;20680,6667
401207;PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI;240954,0;109366,0;55658,0;20079,5;18227,6667;18552,6667;20079,5
401156;PARAFUSO MAD SX 1/4 X 70MM ZI;238160,0;108404,0;55068,0;19846,6667;18067,3333;18356,0;19846,6667
402028;BUCHA PLASTICA N10;238160,0;108404,0;55068,0;19846,6667;18067,3333;18356,0;19846,6667
401163;PARAFUSO PLASTIC PAN PHS 5 X 12MM ZI;226195,0;101705,0;57159,0;18849,5833;16950,8333;19053,0;19053,0
401085;PORCA F MQ UNC SEXT. 1/4 (CH7/16) ZI (NSC);208539,0;91432,0;54499,0;17378,25;15238,6667;18166,3333;18166,3333
100802;TRANSMISSOR 433MHZ REMOTE - MODELO: AGL-E2  (DIGITAL KEY 6P20 BLACK);168648,0;75428,0;37894,0;14054,0;12571,3333;12631,3333;14054,0
402019;PINO ELÁSTICO 4 X 24MM;129969,0;61573,0;30890,0;10830,75;10262,1667;10296,6667;10830,75
208003;IMÃ DE FERRITE - B40X20X10MM;119728,0;54312,0;27646,0;9977,3333;9052,0;9215,3333;9977,3333
813331;SUPORTE DE INSTALAÇÃO DO IMÃ DZ;119728,0;54312,0;27646,0;9977,3333;9052,0;9215,3333;9977,3333
813144;SUPORTE DO IMA DE FIM DE CURSO DESLIZANTE;119316,0;54304,0;27646,0;9943,0;9050,6667;9215,3333;9943,0
813235;BUCHA DO EIXO DESLIZANTE SEXTAVADA;119264,0;54194,0;27534,0;9938,6667;9032,3333;9178,0;9938,6667
401160;PARAFUSO MQ HXL M5 X 16MM RI T25 ZBR;117648,0;50838,0;26112,0;9804,0;8473,0;8704,0;9804,0
401164;PARAFUSO MQ UNC SX RI 1/4 X 1/2 ZI;112018,0;48208,0;28988,0;9334,8333;8034,6667;9662,6667;9662,6667
201125;GRAMPO 35/18 UNIDADE;115670,0;41404,0;21142,0;9639,1667;6900,6667;7047,3333;9639,1667
401095;PARAFUSO MET SXT RI M6-1.00MA X 20 ZI;102784,0;38488,0;20816,0;8565,3333;6414,6667;6938,6667;8565,3333
401115;PARAFUSO MQ UNC SXT RI 1/4 X 1.1/4 - ZI;95868,0;43086,0;25482,0;7989,0;7181,0;8494,0;8494,0
813173;ARRUELA 1,2MM EIXO DESLIZANTE;101878,0;48670,0;24727,0;8489,8333;8111,6667;8242,3333;8489,8333
402012;ANEL ELÁSTICO E-20;101366,0;40741,0;20941,0;8447,1667;6790,1667;6980,3333;8447,1667
402015;ANEL ELÁSTICO E12;100087,0;37460,0;17293,0;8340,5833;6243,3333;5764,3333;8340,5833
401014;PARAFUSO 2.9 X 6.5 A/A PAN PHS ZI;99339,0;45050,0;23348,0;8278,25;7508,3333;7782,6667;8278,25
401031;ARRUELA LISA M6;96820,0;38428,0;20772,0;8068,3333;6404,6667;6924,0;8068,3333
811311;ETIQUETA ADES. BOPP FOSCO C/DFAM 50MM X 25MM X 02 CAR;96770,0;41371,0;21346,0;8064,1667;6895,1667;7115,3333;8064,1667
813250;CHAVE CILINDRO MOTOR DESLIZANTE NYLON (MODELO NOVO);95250,0;46392,0;23658,0;7937,5;7732,0;7886,0;7937,5
811306;ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR;92787,0;44606,0;23065,0;7732,25;7434,3333;7688,3333;7732,25
813527;COPO DO PINO ELÁSTICO DO EIXO ESTAMPADO;83343,0;42128,0;22084,0;6945,25;7021,3333;7361,3333;7361,3333
811541;SACO PLASTICO TRANSPARENTE 30CM X 15CM;85536,0;37557,0;19773,0;7128,0;6259,5;6591,0;7128,0
401007;PARAFUSO 4.8 X 13 A/A PN. PH - ZI;81886,0;33494,0;15536,0;6823,8333;5582,3333;5178,6667;6823,8333
103064;CONECTOR FÊMEA EC601V-5.08-3P GREEN BAG/BULK (EC601V-5.08-3P);81822,0;37542,0;18896,0;6818,5;6257,0;6298,6667;6818,5
401069;PARAFUSO 2 9X13MM A/A PAN PHS ZI;68464,0;33708,0;20392,0;5705,3333;5618,0;6797,3333;6797,3333
100817;SENSOR REED SWITCH (MODELO FLEX-14 1315);51206,0;36868,0;19646,0;4267,1667;6144,6667;6548,6667;6548,6667
813051;SUPORTE FIM DE CURSO BASCULANTE;50472,0;36868,0;19646,0;4206,0;6144,6667;6548,6667;6548,6667
401208;PA MQ PN HXL T25 TMA 5X12 RI ZB;75140,0;35902,0;16390,0;6261,6667;5983,6667;5463,3333;6261,6667
813522;CHAVETA QUADRADA 8MMX33,4MM;63271,0;29545,0;14754,0;5272,5833;4924,1667;4918,0;5272,5833
411017;ROLAMENTOS 6201-08 ZZ C3;60592,0;26354,0;12828,0;5049,3333;4392,3333;4276,0;5049,3333
813014;LINGUETA DO CILINDRO DA ALAVANCA DE DESTRAVAMENTO MANUAL DZ ZI;59758,0;27202,0;13823,0;4979,8333;4533,6667;4607,6667;4979,8333
804247;BASE DA CENTRAL DESLIZANTE;59534,0;27152,0;13783,0;4961,1667;4525,3333;4594,3333;4961,1667
804248;TAMPA DA CENTRAL DESLIZANTE;59484,0;27102,0;13774,0;4957,0;4517,0;4591,3333;4957,0
813237;PINO DESTRAVAMENTO TRINO;59334,0;27097,0;13767,0;4944,5;4516,1667;4589,0;4944,5
813009;ALAVANCA PARA DESTRAVAMENTO MANUAL;59334,0;27097,0;13767,0;4944,5;4516,1667;4589,0;4944,5
813410;BUCHA DE CENTRAGEM DO EIXO DO ROTOR DZ;59334,0;27097,0;13767,0;4944,5;4516,1667;4589,0;4944,5
403032;MOLA DE DESTRAVAMENTO DESLIZANTE;59334,0;27097,0;13767,0;4944,5;4516,1667;4589,0;4944,5
813455;SENSOR DE FIM DE CURSO REED DESLIZANTE;59334,0;27097,0;13767,0;4944,5;4516,1667;4589,0;4944,5
813409;TAMPÃO DO ENGRENAGEM EXTERNA MOTORES DZ;59334,0;27097,0;13767,0;4944,5;4516,1667;4589,0;4944,5
813289;ENGRENAGEM INTERNA DE 1 ENTRADA DZ E NEWBV SEM IMÃ;58146,0;27892,0;13288,0;4845,5;4648,6667;4429,3333;4845,5
811122;MANUAL P / AUTOMATIZADOR DZ/BV/NEW BV CENTRAL FLEX/LIGHT EM PORTUGUÊS;53540,0;27655,0;14486,0;4461,6667;4609,1667;4828,6667;4828,6667
401157;PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 30MM T25;56039,0;24092,0;14484,0;4669,9167;4015,3333;4828,0;4828,0
813015;FIM DE CURSO MECANICO - ZINCADO;55980,0;24086,0;14480,0;4665,0;4014,3333;4826,6667;4826,6667
401161;PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 20MM T25;54393,0;25089,0;11424,0;4532,75;4181,5;3808,0;4532,75
813251;SEM FIM DE UMA ENTRADA ALUMÍNIO TR LIGTH/ TR300/ TR500;54026,0;25291,0;12827,0;4502,1667;4215,1667;4275,6667;4502,1667
816565;CREMALHEIRA PERFIL AÇO GOMO DE PLÁSTICO 0,25M;50676,0;26472,0;12672,0;4223,0;4412,0;4224,0;4412,0
811921;CAIXA PARDA MOTOR DESLIZANTE AGL ( MEIA ABA REFORÇADA);52863,0;24475,0;12315,0;4405,25;4079,1667;4105,0;4405,25
101889;CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMLW CANECA PLASTICA 12uf 250V;51728,0;22990,0;9254,0;4310,6667;3831,6667;3084,6667;4310,6667
804542;BASE INFERIOR PP MOTORES DESLIZANTES;51118,0;25106,0;12712,0;4259,8333;4184,3333;4237,3333;4259,8333
402032;ANEL DE RETENÇÃO ORING 4,47 X 1,78MM;50724,0;24144,0;10920,0;4227,0;4024,0;3640,0;4227,0
804540;BASE SUPERIOR PP DO MOTOR DESLIZANTE;50175,0;24724,0;12612,0;4181,25;4120,6667;4204,0;4204,0
813249;CILINDRO MOTOR DESLIZANTE NYLON;47625,0;23196,0;11829,0;3968,75;3866,0;3943,0;3968,75
813293;MIOLO DO CILINDRO NYLON MOTOR DESLIZANTE;47625,0;23196,0;11829,0;3968,75;3866,0;3943,0;3968,75
801132;ARGOLA DA CHAVE;47590,0;23196,0;11829,0;3965,8333;3866,0;3943,0;3965,8333
813294;PORCA DO CILINDRO NYLON MOTOR DESLIZANTE;47436,0;23144,0;11805,0;3953,0;3857,3333;3935,0;3953,0
813096;ENGRENAGEM EXTERNA 17D PARA EIXO ESTAMPADO TRINO LIGHT/300;46924,0;23114,0;11793,0;3910,3333;3852,3333;3931,0;3931,0
401260;PARAFUSO MQ PN HXL T25 TMA 5X45 PS 30 ZB (ROSCA COMPLETA);46924,0;23114,0;11793,0;3910,3333;3852,3333;3931,0;3931,0
813525;EIXO ESTAMPADO PARA MOTOR TRINO LIGHT/300 - ZINCADO;46924,0;23114,0;11793,0;3910,3333;3852,3333;3931,0;3931,0
208004;IMÃ DE FERRITE - B20X13X5MM;46315,0;19234,0;11487,0;3859,5833;3205,6667;3829,0;3859,5833
813024;TAMPA PROTEÇÃO DO MOTOR - PRETA;43169,0;21425,0;11566,0;3597,4167;3570,8333;3855,3333;3855,3333
402017;CP DE FERRO ZINCADO 3/16 X 1. 1/4;41789,0;17655,0;9878,0;3482,4167;2942,5;3292,6667;3482,4167
201038;PERFIL AL SOL 7 STLF-0864 6063;33538,9694;11281,0005;9993,5688;2794,9141;1880,1667;3331,1896;3331,1896
911130;PLACA REVISADA NOVA CENTRAL BASIC G/LIGHT;36299,0;18578,0;9803,0;3024,9167;3096,3333;3267,6667;3267,6667
411039;TARUGO PE CINZA 10 mm;37532,1;16165,85;9609,55;3127,675;2694,3083;3203,1833;3203,1833
401121;ABRAÇADEIRA UV PRETA 202X3,7;35722,0;14735,0;9568,0;2976,8333;2455,8333;3189,3333;3189,3333
401162;PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25;36777,0;7684,0;3432,0;3064,75;1280,6667;1144,0;3064,75
811505;SACO PLASTICO TRANSPARENTE 14CM X 9CM;29179,0;15804,0;8329,0;2431,5833;2634,0;2776,3333;2776,3333
512002;CONJUNTO ESTATOR E ROTOR AGL DESL P17 1/7 cv 04 42Z 220V 60HZ;28819,0;13220,0;5035,0;2401,5833;2203,3333;1678,3333;2401,5833
813234;CHAVETA 8MMX33,4MM;27249,0;10627,0;5967,0;2270,75;1771,1667;1989,0;2270,75
512001;CONJUNTO ESTATOR E ROTOR AGL DESL P17 1/7 cv 04 42Z 127V 60HZ;18582,0;9924,0;6770,0;1548,5;1654,0;2256,6667;2256,6667
401198;PARAFUSO PLASTIC PAN PHILLIPS 4 X 10 ZB - ZINCADO;27036,0;10912,0;6012,0;2253,0;1818,6667;2004,0;2253,0
813321;PINO TRAVA PIVO - ZINCADO;24163,0;9729,0;5262,0;2013,5833;1621,5;1754,0;2013,5833
