Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,541,-14115,-19815,-20619,-31326,-36963,-41685,-43306,-43366,-43366.1,-131001.70370370311,-306275.1111111119,Unnamed: 16,194247,87635.70370370302,262909.11111111066,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Departamento,,Descrição,Seção,,,,,,,,,,,Estoque mínimo,Estoque Máximo,Curva,,Estoque min,Estoque max,,,,,,,,Carteira
FECHADURAS,1002021,FECHADURA AGL- AL100R - 12V PRETA - 42MM CH.SIMP. F.ESP.,FECHADURA AGL - AL100R,0,-1409,-1559,-1630,-1973,-2178,-2178,-2208,-2208,-2208,-4160,-8065,A,707,1952,5857,0,0,0,0,0,0,,0x17
MOTORES,2001015,"CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO ALUM MOD 4",BARRA DENTADA,0,-1290,-1290,-1290,-1320,-1320,-1320,-1320,-1320,-1320,-3107,-6682,A,903,1787,5362,0,0,0,0,0,0,,0x17
FECHADURAS,1011083,"FECHADURA ELETR. AGL ULTRA CARD PRETA MIFARE 13,56 MHZ - 42MM CH.SIMP. F.ESP.",FECHADURA ULTRA,0,-1038,-1061,-1061,-1081,-1081,-1081,-1081,-1081,-1081,-1704,-2949,C,90,623,1868,0,0,0,0,0,0,,0x17
FECHADURAS,1011091,"FECHADURA ELETR. AGL ULTRA MAGIC CARD PRETA MIFARE 13,56 MHZ - 42MM CH.SIMP. F.ESP.",FECHADURA ULTRA,1,-1027,-1027,-1027,-1037,-1037,-1037,-1042,-1042,-1042,-1309,-1842,C,2,267,800,0,0,0,0,0,0,,0x17
FECHADURAS,1007114,CHAVE TETRA VIRGEM AGL NOVA,REPOSIÇÃO / DIVERSOS - FECHADURAS,-1,-683,-683,-683,-683,-683,-683,-683,-683,-683,-1176,-2162,C,1,493,1479,0,0,0,0,0,0,,0x17
FECHADURAS,1011113,FECHADURA ELETRÔNICA AGL ULTRA TOUCH,FECHADURA ULTRA TOUCH,0,-680,-680,-680,-680,-680,-680,-680,-680,-680,-841,-1164,C,88,161,484,0,0,0,0,0,0,,0x17
FECHADURAS,1011090,"FECHADURA ELETR. AGL ULTRA MAGIC CARD PRETA MIFARE 13,56 MHZ - 42MM CH. E-CODE F.ESP.",FECHADURA ULTRA,89,-673,-673,-673,-673,-673,-673,-673,-673,-673,-700,-754,C,1,27,81,0,0,0,0,0,0,,0x17
ELETROIMÃ,1301001,FECHADURA ELETROIMA AGL AL 150 - BRANCA,FECHADURAS ELETROÍMÃ ,0,-641,-641,-641,-676,-676,-676,-676,-676,-676,-1181,-2192,A,551,505,1516,0,0,0,0,0,0,,0x17
FECHADURAS,1011001,FECHADURA ELETRÔNICA AGL ULTRA PRETA - 42MM CH.SIMP. F.ESP.,FECHADURA ULTRA,0,-569,-573,-575,-645,-645,-645,-645,-645,-645,-940,-1530,A,51,295,885,0,0,0,0,0,0,,0x17
FECHADURAS,1012002,FECHADURA DE SOBREPOR AGL 35MM CHAVE SIMPLES PRETA,FECHADURA SOBREPOR,0,-496,-496,-496,-506,-544,-544,-549,-549,-549,-709,-1029,B,69,160,480,0,0,0,0,0,0,,0x17
FECHADURAS,1201018,FECHO ELÉTRICO AGL 12V,FECHO ELÉTRICO,0,-422,-442,-448,-495,-640,-640,-715,-775,-775,-2231,-5144,A,831,1456,4369,0,0,0,0,0,0,,0x17
INTERFONIA ,1110428,"CHAVEIRO DIGITAL TAG ABS 13,56MHZ",IMPORTADOS,-3,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,-367,C,3,0,0,0,0,0,0,0,0,,0x17
FECHADURAS,1004253,FECHADURA AGL- MINI - 12V PRETA - 42MM A. INT. CH.TETRA. F.CONV.,FECHADURA AGL-MINI,50,-315,-315,-315,-315,-315,-315,-315,-315,-315,-340,-391,B,0,25,76,0,0,0,0,0,0,,
INTERFONIA ,1106052,CONTROLE DE ACESSO CA1000 TOUCH,IMPORTADOS,0,-269,-269,-269,-269,-269,-269,-269,-269,-269,-389,-630,A,0,120,361,0,0,0,0,0,0,,0x17
FECHADURAS,1002023,FECHADURA AGL- AL100R - 12V PRETA - 42MM CH.TETRA. F.ESP.,FECHADURA AGL - AL100R,0,-245,-245,-245,-249,-275,-275,-277,-277,-277,-405,-660,A,106,128,383,0,0,0,0,0,0,,0x17
MOTORES,2010412,KIT DE INSTALAÇÃO DESLIZANTE COM ÍMÃ E CONTROLES (COM BORNE),REPOSIÇÃO E DIVERSOS -MOTOR,0,-232,-232,-232,-232,-232,-232,-232,-232,-232,-233,-234,C,0,1,2,0,0,0,0,0,0,,0x17
FECHADURAS,1012005,FECHADURA DE SOBREPOR AGL CHAVE TETRA PRETA,FECHADURA SOBREPOR,80,-222,-222,-222,-222,-222,-222,-222,-222,-222,-252,-311,B,0,30,89,0,0,0,0,0,0,,0x17
MOTORES,2010155,ENGRENAGEM INTERNA BV/ PIVO AGL ZAMAC,REPOSIÇÃO E DIVERSOS -MOTOR,0,-201,-201,-204,-204,-204,-204,-204,-204,-204,-280,-432,C,12,76,228,0,0,0,0,0,0,,0x17
MOTORES,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,PIVOTANTES DUPLOS,0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-303,-510,C,0,103,310,0,0,0,0,0,0,,0x17
