Unnamed: 0,Unnamed: 1,TOTAL,12,-149,-1453,-2710,-8179,-14410,-14804,-24001,-38015,-44157,-61460,-96075,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,SUBTOTAL,0,-2,-2,-5,-5,-5,-5,-13,-14,-15,-15,-15,,,
Cód,Descrição,Seção,E-comerce / Suporte,Atraso,Hoje,1º Semana 08/02,2º Semana 15/02,3º Semana 22/02,4º Semana 01/03,MARÇO,ABRIL,Estoque Disponível,Estoque mínimo,Estoque Máximo,Situação,Observações,Previsão
1015517,"BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 6,0M",BARREIRAS PARA CANCELAS,,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-9,ATRASARA,Aguardando perfis da STL,
1015616,CONJ. CILINDRO E CHAVE DE METAL P/ DESTRAVAMENTO CANCELA / TRAVA ELETROM.,REPOSIÇÃO E DIVERSOS -CANCELAS,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-3,PROGRAMADO,,
1015553,TAMPA DA CANCELA,REPOSIÇÃO E DIVERSOS -CANCELAS,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-3,PROGRAMADO,,
1015527,"BARREIRA CANCELA AGUSTA BRUSHLESS SEM LOGO DC COM LED - 3,0M",BARREIRAS PARA CANCELAS,,,-19,-25,-33,-36,-36,-55,-83,-83,-85,-90,,,
1015528,"BARREIRA CANCELA AGUSTA BRUSHLESS SEM LOGO DC COM LED - 3,5M",BARREIRAS PARA CANCELAS,,,-15,-21,-21,-21,-21,-21,-27,-27,-29,-32,,,
1015009,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA SEM LOGO DC 1,2S - ATÉ 4,0M CINZA",CANCELA,,,-12,-12,-24,-24,-24,-44,-70,-70,-78,-95,,,
1015001,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA AGL DC 1,2S - ATÉ 4,0M CINZA",CANCELA,,,-1,-13,-17,-17,-17,-17,-35,-35,-43,-58,,,
1015002,"CANCELA AGUSTA BRUSHLESS P/ BARREIRA AGL DC 2,5S - 4,5M A 6M CINZA",CANCELA,,,,-20,-22,-22,-22,-22,-34,-34,-42,-57,,,
