Código;Descrição;CódigoMP;Descrição MP;QTD MP;Tipo;Coluna1;OBS
1400021;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
1400021;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
1400041;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ EX;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
1400041;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
1400045;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
1400045;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
1400047;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ EX;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
1400047;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ EX;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001003;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001003;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001004;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001004;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001007;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001007;CONJ. MOVIMENTADOR TRINO 500 SPEED 127V 50-60HZ;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001008;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001008;CONJ. MOVIMENTADOR TRINO 500 SPEED 220V 50-60HZ;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001009;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001009;CONJ. MOVIMENTADOR TRINO 700 127V 50-60HZ;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001010;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001010;CONJ. MOVIMENTADOR TRINO 700 220V 50-60HZ;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001011;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001011;CONJ. MOVIMENTADOR TRINO 900 127V 50-60HZ;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001012;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ;813100;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT;1;;2;
2001012;CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001013;CONJ. MOVIMENTADOR TRINO SOFT 127V 50-60Hz;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001013;CONJ. MOVIMENTADOR TRINO SOFT 127V 50-60Hz;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001014;CONJ. MOVIMENTADOR TRINO SOFT 220V 50-60Hz;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001014;CONJ. MOVIMENTADOR TRINO SOFT 220V 50-60Hz;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001033;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ SEM CREMALHEIRA;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
2001033;CONJ. MOVIMENTADOR TRINO 300 SPEED 127V 50-60HZ SEM CREMALHEIRA;813522;CHAVETA QUADRADA 8MMX33,4MM;1;;2;
2001034;CONJ. MOVIMENTADOR TRINO 300 SPEED 220V 50-60HZ SEM CREMALHEIRA;813099;ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO SPEED 300/500/SOFT 2 ENTRADAS;1;;2;
