chave,coluna_1,coluna_2,coluna_3,coluna_4,coluna_5,coluna_6,coluna_7,coluna_8,coluna_9,coluna_10
Aluminio,807163,ACIONADOR DA TRAVA ELETROMAGNÉTICA,UNIDADE,UN,,4556,0,0,0,0
Aluminio,813262,ACOPLAMENTO DO NEW BV/BV/PIVO,UNIDADE,UN,,17077,0,0,0,0
Aluminio,813245,ALAVANCA DESTRAVAMENTO DZ INDUSTRIAL,UNIDADE,UN,,339,0,0,0,0
Aluminio,813239,ARANHA INF. DO DESLIZANTE FURO M5,UNIDADE,UN,,4792,0,0,0,0
Aluminio,813393,ARANHA INF. DO INDUSTRIAL,UNIDADE,UN,,252,0,0,0,0
Aluminio,813608,ARANHA INFERIOR SUGGAR COM PÉS,UNIDADE,UN,,7846,0,0,0,0
Aluminio,813238,ARANHA SUP. DO DESLIZANTE FURO M5,UNIDADE,UN,,2950,0,0,0,0
Aluminio,813604,ARANHA SUPERIOR SUGGAR,UNIDADE,UN,,2991,0,0,0,0
Aluminio,701125,BASE AGL FECH. ELETROÍMÃ AL150 / AL180 - BRUTO,UNIDADE,UN,,4015,0,0,0,0
Aluminio,813241,BASE DE ALUMÍNIO INFERIOR MOTOR DZ INDUSTRIAL,UNIDADE,UN,,72,0,0,0,0
Aluminio,813199,BASE DE ALUMÍNIO MOTORES DESLIZANTES,UNIDADE,UN,,262,0,0,0,0
Aluminio,813153,BASE DE ALUMÍNIO SUPERIOR MOTOR DZ INDUSTRIAL,UNIDADE,UN,,194,0,0,0,0
Aluminio,701107,BATENTE DA FECHADURA RX100/ RX200/ RX500 - BRUTO,UNIDADE,UN,,2705,0,0,0,0
Aluminio,807119,CAIXA DA TRAVA ELETROMAGNÉTICA - ALUMÍNIO,UNIDADE,UN,,520,0,0,0,0
Aluminio,807162,CARCAÇA DA FECHADURA MINI SMART (ADAPTAÇÃO NOVO MINI MOTOR),UNIDADE,UN,,700,0,0,0,0
Aluminio,813271,CARCAÇA DE MOTOR BV/PIVO INFERIOR,UNIDADE,UN,,548,0,0,0,0
Aluminio,813258,CARCAÇA INFERIOR NEW BV SEM FURO ENCODER,UNIDADE,UN,,1428,0,0,0,0
Aluminio,807158,CARCAÇA INTERNA DA FECHADURA RX100 / RX200 / RX500 / BT1,UNIDADE,UN,,3133,0,0,0,0
Aluminio,813265,CARCAÇA SUPERIOR NEW BV,UNIDADE,UN,,1161,0,0,0,0
Aluminio,813311,CHAVE PIVO,UNIDADE,UN,,5524,0,0,0,0
Aluminio,813310,CILINDRO CHAVE PIVO,UNIDADE,UN,,11745,0,0,0,0
Aluminio,813243,ENGRENAGEM EXTERNA MOTOR INDUSTRIAL,UNIDADE,UN,,409,0,0,0,0
Aluminio,813037,ENGRENAGEM EXTERNA MOTOR 17 DENTES,UNIDADE,UN,,1457,0,0,0,0
Aluminio,701189,ESPELHO DO BATENTE DA FECHADURA RX100 / RX200 / RX500 - BRUTO,UNIDADE,UN,,1705,0,0,0,0
Aluminio,813623,FIM DE CURSO MECANICO DE ALUMÍNIO,UNIDADE,UN,,3952,0,0,0,0
Aluminio,707029,FUNDO ALUMINIO LINGUETA PV200RF2I - BRUTO,PC,UN,,1072,0,0,0,0
Aluminio,807155,FUNDO DO PAINEL RX200/ RX500,UNIDADE,UN,,540,0,0,0,0
Aluminio,807203,FUNDO DO PAINEL RX200/ RX500/BT100 PARA CILINDRO E-CODE,UNIDADE,UN,,1005,0,0,0,0
Aluminio,813146,GOMO 25CM P/ CREMALHEIRA ALUMÍNIO,UNIDADE,UN,,12167,0,0,0,0
Aluminio,203004,LINGOTE DE ALUMINIO,QUILOGRAMA,KG,AGL MOTORES,118,0,0,0,0
Aluminio,203006,LINGOTE DE ALUMINIO (INJEÇÃO ALETAS ROTOR),QUILOGRAMA,KG,AGL MOTORES,42464,0,0,0,0
Aluminio,707023,MAÇANETA ALAVANCA - BRUTO,UN,UN,,1654,0,0,0,0
Aluminio,707022,MAÇANETA BOLA - BRUTO,UNIDADE,UN,,3050,0,0,0,0
Aluminio,813513,MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA (FÊMEA),UNIDADE,UN,,11,0,0,0,0
Aluminio,813512,MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA (MACHO),UNIDADE,UN,,80,0,0,0,0
Aluminio,412090,"NI-RT SAE-060 AGL P16,8 04P COM ALETA",UNIDADE,UN,,3183,0,0,0,0
Aluminio,412168,"NI-RT SAE-060 AGL P16,8 04P SEM ALETA",UNIDADE,UN,,150,0,0,0,0
Aluminio,412388,"NI-RT SAE-060 AGL P16,8 2P (SOMENTE ROTOR P/ INDUSTRIALIZAÇÃO)",UNIDADE,UN,,13,0,0,0,0
Aluminio,412380,NI-RT SAE-060 AGL P20 04P COM ALETA,UNIDADE,UN,,145,0,0,0,0
Aluminio,412043,"NI-RT SAE-060 AGL P22,0 2P (SOMENTE ROTOR P/INDUSTRIALIZAÇÃO)",UNIDADE,UN,,2496,0,0,0,0
Aluminio,813448,NI-RT SAE-060 AGL P24 04P,UNIDADE,UN,,5300,0,0,0,0
Aluminio,412094,NI-RT SAE-060 AGL P24 04P COM ALETA,UNIDADE,UN,,14466,0,0,0,0
Aluminio,412107,"NI-RT SAE-060 AGL P24,0 2P (SOMENTE ROTOR P/ INDUSTRIALIZAÇÃO)",UNIDADE,UN,,1629,0,0,0,0
Aluminio,412051,"NI-RT SAE-060 AGL P27,6 04P COM ALETA",UNIDADE,UN,,1915,0,0,0,0
Aluminio,412387,"NI-RT SAE-060 AGL P27,6 04P SEM ALETA",UNIDADE,UN,,191,0,0,0,0
Aluminio,412109,"NI-RT SAE-060 AGL P28,0 2P (SOMENTE ROTOR P/ INDUSTRIALIZAÇÃO)",UNIDADE,UN,,819,0,0,0,0
Aluminio,412092,NI-RT SAE-060 AGL P33 04P COM ALETA,UNIDADE,UN,,2553,0,0,0,0
Aluminio,412366,NI-RT SAE-060 AGL P33 04P SEM ALETA,UNIDADE,UN,,1283,0,0,0,0
Aluminio,412075,NI-RT SAE-060 AGL P39 04P COM ALETA,UNIDADE,UN,,910,0,0,0,0
Aluminio,412111,"NI-RT SAE-060 AGL P39,0 2P (SOMENTE ROTOR P/ INDUSTRIALIZAÇÃO)",UNIDADE,UN,,345,0,0,0,0
Aluminio,412089,NI-RT SAE-060 AGL P45 04P COM ALETA,UNIDADE,UN,,1100,0,0,0,0
Aluminio,412126,"NI-RT SAE-060 AGL P80,0 2P (SOMENTE ROTOR P/ INDUSTRIALIZAÇÃO)",UNIDADE,UN,,21,0,0,0,0
Aluminio,701159,PINO DESTRAVAMENTO MOTOR DZ INDUSTRIAL,UNIDADE,UN,,438,0,0,0,0
Aluminio,412139,"PS-ST SAE-060 AGL 16,8MM 2P (SOMENTE MOTOR P/ INDUSTRIALIZAÇÃO)",UNIDADE,UN,,520,0,0,0,0
Aluminio,412108,"PS-ST SAE-060 AGL 24,0MM 2P (SOMENTE MOTOR P/ INDUSTRIALIZAÇÃO)",UNIDADE,UN,,600,0,0,0,0
Aluminio,412110,"PS-ST SAE-060 AGL 28,0MM 2P (SOMENTE MOTOR P/ INDUSTRIALIZAÇÃO)",UNIDADE,UN,,600,0,0,0,0
Aluminio,412033,"PS-ST SAE-060 S/TRAT AGL 22,0MM 2P (SOMENTE MOTOR P/ INDUSTRIALIZAÇÃO)",UNIDADE,UN,,600,0,0,0,0
Aluminio,412037,"PS-ST SAE-060 S/TRAT AGL 39,0MM 2P (SOMENTE MOTOR P/ INDUSTRIALIZAÇÃO)",UNIDADE,UN,,600,0,0,0,0
