Código,Descrição,Família,Consumo V.,Consumo P.,PR,Liberio,Estoque setor,Almoxarifado,Estoque total,Situação,Cobertura,LT,Necessidade,Nº BraZip,Data solic.,Qtd solic.,Fornecedor,Aplicação
205015,"Tubo inox 304 A554 C/C 25,40 x 3mm x 6metros polido",Perfil/ Tubo Inox,-,3.2549999999999994,10,SD,200.94,0,200.94,Estoque em dia,62 meses,13.892858796294604,1838.0887080239822,,,,,
411048,"Tubo inox 304 A554 C/C 25,40 x 1,20mm x 6metros polido",Perfil/ Tubo Inox,-,796.9833333333335,1395,1500,0,0,0,Fazer pedido,0 dias,15.420065972222801,-15.420065972222801,7087,2026-05-15 00:00:00,2000,,
205016,TUBO EM AÇO COM DIÂMETRO DE 20MM DE AÇO COMUM - SIZE OD*ID (MM) - 20.5*13 ASTM A106 GR.B,Barras de aço,-,785.4745820686679,1375,,4000,0,4000,Estoque em dia,5 meses,,122.77388058052952,,,,,Eixos principais
103549,"TERMINAL FASTON FEMEA ISOLADO 0,5-1,5MM",Parafusos Geral,-,60,105,1200,1150,0,1150,Estoque em dia,19 meses,,0,,,,,Motor Cadena (4 un/ motor)
411039,TARUGO ESPUMADO CINZA 10MM X 1150M (CONSIDERAR ESTOQUE EM METROS),Diversos,-,3240.65,5675,11500,3158,11500,14658,Estoque em dia,5 meses,18.153798611111416,117.54120084887346,6994,2026-05-12 00:00:00,10000,,Acabamento do fim de curso acionametno BV/NEW BV/PIVO
41733,SETTORI 3148 - TB200L,Lubrificantes,-,-,-,,,0,0,Fazer pedido,,11.937696759261598,0,,,,,LAMINADORA
100817,SENSOR REED SWITCH (MODELO FLEX-14 1315),Diversos,-,9641,16875,,0,135000,135000,Estoque em dia,14 meses,,0,,,,,
411067,ROLAMENTO 6205LLUC3/2AS 25mm x 52mm x 15 mm - (Ø interno x Ø externo x A),Rolamentos,-,72,130,400,52,1250,1302,Estoque em dia,18 meses,18.88423611111648,523.6157638888835,,,,,Eixo principal strong
411017,"ROLAMENTO 6201 (12,7mm x 32mm x 10mm ) - (Ø interno x Ø externo x A)",Rolamentos,-,5153.666666666667,9020,50000,5030,23800,28830,Estoque em dia,6 meses,86.53604497354847,81.2862174933036,,,,,Eixo do induzido de todos motores
411015,ROLAMENTO 6004 (20mm x 42mm x 12mm ) - (Ø interno x Ø externo x A),Rolamentos,-,148.75,265,8000,531,0,531,Estoque em dia,4 meses,19.4121585648154,87.68027840997452,,,,,Eixo principal New Bv turbo e New Bv Heavy
811320,RL PELICULA ADESIVA REFLETIVA GRAU COMERCIAL VERMELHO (62CMX20M),Parafusos Geral,-,14.514691666666664,30,,42.350706,80,122.350706,Estoque em dia,8 meses,11.941597222226846,240.94156862754724,,,,,Montagem da barreira sem led
402013,RETENTOR GR 20X30X7 TC GTOP-GBR,Anéis e pinos ,-,1292.6666666666667,2265,8800,1480,71620,73100,Estoque em dia,57 meses,,1666.4930376482723,,,,,Montagem do eixo principal New BV (CARCAÇA NOVA) - IMPORTADO
401173,REBITE C/ROSCA SEXT. M5 CAB. PLANA ZB,Parafusos Geral,-,1075.3333333333333,1885,4100,3000,0,3000,Estoque em dia,3 meses,24.881986882717076,58.81299141858486,,,,,26 por motor 
401124,PORCA SEXT. M6 DIN 439-2,Parafusos Geral,-,-,-,0,0,0,0,Não compra,,,0,,,,,verificar se usa
401201,PORCA PARLOCK MA 8MM ZB,Parafusos Geral,-,170.75,300,300,2000,0,2000,Estoque em dia,12 meses,16.218857060184746,335.1720653409866,,,,,Montagem da barreira articulada
401199,PORCA PARLOCK MA 6MM ZB,Parafusos Geral,-,1331.5,2335,2800,4000,0,4000,Estoque em dia,3 meses,31.745854828042088,58.37806556249491,,,,,Montagem da trava de apoio da barreira no suporte da barreira
401085,PORCA F MQ UNC SEXT. 1/4 (CH7/16) ZI (NSC),Parafusos Geral,-,17826,31200,80000,80000,0,80000,Estoque em dia,4 meses,26.57367910879566,108.06112398780479,,,,,Kit fixação Dz / Montagem do batente dos acionamentos e pivo / Montagem do cilindro de metal Dz
401184,PORCA F MET SEXTAVADA M8 (CH13) ZI (NSC),Parafusos Geral,-,2.25,5,200,1461,0,1461,Estoque em dia,649 meses,,0,,,,,"prender mola da cancela, vem junto com a mola"
401183,PORCA F MET SEXTAVADA M14 (CH22) ZI (ISC),Parafusos Geral,-,36.666666666666664,65,100,400,0,400,Estoque em dia,11 meses,34.07450231481198,293.19822495791533,,,,,Montagem do esticador da barreira articulada
401077,PORCA F MET SEXTAVADA M10 (CH17) ZI,Parafusos Geral,-,109.58333333333333,195,1200,4300,0,4300,Estoque em dia,39 meses,30.709897486772597,1146.4764143002997,,,,,Montagem do suporte da barreira / Solda para prender o motor no gabinete
401230,PORCA BAIXA MB20 ZI,Parafusos Geral,-,27.666666666666668,50,800,165,1200,1365,Estoque em dia,49 meses,31.281554783949105,1448.8389271437616,,,,,
401166,PO F MET SEXT. M5 (CH8) ZI (NSC),Parafusos Geral,-,106.5,190,1000,8156,0,8156,Estoque em dia,77 meses,,0,,,,,Acoplamento do New Bv turbo
402019,PINO ELÁSTICO 4X24,Anéis e pinos ,-,10906.416666666666,19090,30000,20000,0,20000,Estoque em dia,55 dias,23.926790123456968,31.086695821361452,,,,,"Montagem do sem fim Bv, New Bv e Dz e eixo de transmissão DZ dos motores abaixo de 500kg (eixo estampado)"
401169,"PF JMP PAN PHS 3,5X14MM ZI",Parafusos Geral,-,21181.666666666668,37070,20000,22424,0,22424,Fazer pedido,32 dias,17.693224022634645,14.066316460487553,,,,,Fechamento da proteção da central New Bv / Bv / Pivo
401109,"PF A/A PAN PHS 3,9 X 13MM ZI",Parafusos Geral,-,1135.3333333333333,1990,2000,5500,0,5500,Estoque em dia,5 meses,25.42297453703668,119.90879293213538,,,,,irá substituir o item 401217
401207,"PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI",Parafusos Geral,-,21471.333333333332,37575,44000,67500,0,67500,Estoque em dia,3 meses,26.17060386473357,68.14119170765753,,,,,Kit fixação DZ / Montagem da tampa da cancela 
201109,PERFIL AL STL 1851 CANCELAS,Perfil/ Tubo Inox,-,0.6214192708333334,5,500,0,0,0,Não compra,0 dias,30.110254629631527,-30.110254629631527,,,,,
201038,PERFIL AL SOL 7 STLF-0864 6063 (FINO),Perfil/ Tubo Inox,-,2802.6840658888887,4905,4000,7358.66181,0,7358.66181,Estoque em dia,3 meses,34.84823816872651,43.91906100239309,,,,,
201039,PERFIL AL SOL 7 STLF-0846 6063 T5 (GROSSO),Perfil/ Tubo Inox,-,129.31702184684684,230,300,1858,0.3,1858.3,Estoque em dia,14 meses,45.16434606481683,385.93899364884317,5884,2025-10-09 00:00:00,450,,Utilizado nos acionamentos de 4 metros para cima
201039,PERFIL AL SOL 7 STLF-0846 6063 T5,Perfil/ Tubo Inox,-,129.31702184684684,230,,166.847354,0.3,167.147354,Fazer pedido,39 dias,45.16434606481683,-6.388162168943516,,,,,
813572,"PERFIL AL 6,0M STL 1851 CANCELAS",Perfil/ Tubo Inox,-,37.638889999999996,70,,0,,,Fazer pedido,0 dias,42.010439814810525,-42.010439814810525,5884,2025-10-09 00:00:00,150,,
813570,"PERFIL AL 5,0M STL 1851 CANCELAS",Perfil/ Tubo Inox,-,15.416666666666666,30,,0,,,Fazer pedido,0 dias,29.62146990740439,-29.62146990740439,5884,2025-10-09 00:00:00,150,,
813569,"PERFIL AL 4,5M STL 1851 CANCELAS",Perfil/ Tubo Inox,-,21.916666666666668,40,,0,,,Fazer pedido,0 dias,42.010439814810525,-42.010439814810525,5884,2025-10-09 00:00:00,150,,
813401,"PERFIL AL 4,01M - SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,-,-,,279,0,279,Fazer pedido,,,0,,,,,
813560,"PERFIL AL 3,5M SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,30.75,55,,0,0,0,Fazer pedido,0 dias,,0,5884,2025-10-09 00:00:00,300,,
813562,"PERFIL AL 3,25M SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,65.83333333333333,120,,0,0,0,Sob Demanda,0 dias,42.010439814810525,-42.010439814810525,,,,,
813559,"PERFIL AL 3,0M SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,61.75,110,,0,0,0,Fazer pedido,0 dias,42.010439814810525,-42.010439814810525,5884,2025-10-09 00:00:00,300,,
813558,"PERFIL AL 2,5M SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,16.833333333333332,30,,0,0,0,Fazer pedido,0 dias,42.010439814810525,-42.010439814810525,,,,,
813400,"PERFIL AL 2,0M - SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,65.5,115,,186,0,186,Estoque em dia,3 meses,4.843530092592118,80.34730960206439,,,,,
813399,"PERFIL AL 1,5M - SOL 7 STLF-0864 6063",Perfil/ Tubo Inox,-,908.5833333333334,1595,,2564,0,2564,Estoque em dia,3 meses,29.62146990740439,55.03779818394662,,,,,
