"codigo","descricao","06/2025","07/2025","08/2025","09/2025","10/2025","11/2025","12/2025","01/2026","02/2026","03/2026","04/2026","05/2026","m_06/2025","m_07/2025","m_08/2025","m_09/2025","m_10/2025","m_11/2025","m_12/2025","m_01/2026","m_02/2026","m_03/2026","m_04/2026","m_05/2026","consumo_total_12_meses","media_diaria_12_meses"
"707039","PARAFUSO PLASTIC PAN PHS 5 X 12MM - BRUTO",36545,176870,180592,80353,43235,0,275396,0,0,52430,472201,0,1218,5705,5826,2678,1395,0,8884,0,0,1691,15740,0,1317622,3610
"401007","PARAFUSO 4.8 X 13 A/A PN. PH - ZI",103474,149750,134378,151774,99434,103408,102132,77810,116184,147854,71030,57866,3449,4831,4335,5059,3208,3447,3295,2510,4149,4769,2368,1867,1315094,3603
"401163","PARAFUSO PLASTIC PAN PHS 5 X 12MM ZI",103877,258973,190414,63709,191897,48025,37993,48405,81030,82585,87403,60074,3463,8354,6142,2124,6190,1601,1226,1561,2894,2664,2913,1938,1254385,3437
"707038","PARAFUSO PLASTIC PAN PHS 5 X 25MM - BRUTO",22346,47117,44510,46813,64259,0,0,0,4662,46442,402554,0,745,1520,1436,1560,2073,0,0,0,166,1498,13418,0,678703,1859
"103098","TERMINAL EMENDA ESG. C/ ESTRIAS ESCA LONADAS / PASSO 8.0",34341,24504,47931,57837,57912,51909,50103,119637,36609,51333,56148,49983,1145,790,1546,1928,1868,1730,1616,3859,1307,1656,1872,1612,638247,1749
"401108","PARAFUSO PLASTIC PAN PHS 5 X 25MM ZI",41493,44459,54252,50242,56908,44676,32004,60624,44511,47787,34371,18160,1383,1434,1750,1675,1836,1489,1032,1956,1590,1542,1146,586,529487,1451
"411017","ROLAMENTOS 6201-08 ZZ C3",30716,18439,37734,41611,45128,36136,36016,86296,26471,36864,40582,36092,1024,595,1217,1387,1456,1205,1162,2784,945,1189,1353,1164,472085,1293
"401157","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 30MM T25",8884,2283,4414,5402,3840,32529,59108,146966,30995,47393,70278,53624,296,74,142,180,124,1084,1907,4741,1107,1529,2343,1730,465716,1276
"205024","TUBO COM FILME DE POLIESTER RETRATIL LAMINADO E FALSO TECIDO - TRAMARETRATIL-F 130C Ø 4,00mm",22894,16336,31954,38558,38608,34606,32898,79098,23768,34222,37232,33322,763,527,1031,1285,1245,1154,1061,2552,849,1104,1241,1075,423496,1160
"804550","BUCHA PARA ROLAMENTO MOTORES DESLIZANTES/TANQUINHOS",22314,16336,31954,36558,38608,32392,32658,79298,22896,32222,37432,33322,744,527,1031,1219,1245,1080,1053,2558,818,1039,1248,1075,415990,1140
"813146","GOMO 25CM P/ CREMALHEIRA ALUMÍNIO",31650,45142,42562,47922,28256,33658,31986,19416,37034,45346,21515,18660,1055,1456,1373,1597,911,1122,1032,626,1323,1463,717,602,403147,1105
"103511","ALOJAM. LUVA PARA TERMINAL FASTON FêMEA 6,3MM RETO NATURAL",17224,16336,31894,31014,32754,30680,30314,74112,16324,25314,36992,27250,574,527,1029,1034,1057,1023,978,2391,583,817,1233,879,370208,1014
"701201","ARRUELA LISA 1/4 FE - BRUTO",30858,43121,28165,29373,26641,29222,31124,12962,46822,25208,22695,34583,1029,1391,909,979,859,974,1004,418,1672,813,756,1116,360774,988
"813080","GOMO 25CM P/ CREMALHEIRA PLASTICO PRETO",24645,82510,56631,13360,58198,9752,9145,8579,22131,20557,21906,17096,822,2662,1827,445,1877,325,295,277,790,663,730,551,344510,944
"401025","PARAFUSO MQ PN HXL T25 TMA 5X40 PS BC",34548,32672,63908,62028,65968,32800,4200,8004,4424,11020,10772,3452,1152,1054,2062,2068,2128,1093,135,258,158,355,359,111,333796,915
"401068","ARRUELA LISA 1/4 FE ZI",35260,29462,28452,25794,31146,21026,18576,39208,23456,28680,28356,12490,1175,950,918,860,1005,701,599,1265,838,925,945,403,321906,882
"401208","PA MQ PN HXL T25 TMA 5X12 RI ZB",34906,31770,63976,59402,70280,29838,4128,12400,5781,4118,2708,1392,1164,1025,2064,1980,2267,995,133,400,206,133,90,45,320699,879
"401163","PARAFUSO PLASTIC PAN PHS 5 X 12MM ZI (PROD)",0,0,19764,90000,39528,36000,41103,65400,144,14400,13827,168,0,0,638,3000,1275,1200,1326,2110,5,465,461,5,320334,878
"401207","PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI",18982,24598,24120,22250,24328,19414,14816,27148,19656,23034,18644,8856,633,793,778,742,785,647,478,876,702,743,621,286,245846,674
"401156","PARAFUSO MAD SX 1/4 X 70MM ZI",18492,23972,23568,20876,23044,18068,14476,25492,19000,20664,15980,8344,616,773,760,696,743,602,467,822,679,667,533,269,231976,636
"402028","BUCHA PLASTICA N10",18492,23972,23568,20876,23044,18068,14476,25492,19000,20664,15980,8344,616,773,760,696,743,602,467,822,679,667,533,269,231976,636
"401169","PF JMP PAN PHS 3,5X14MM ZI",28074,17254,27156,19362,26744,14696,14172,30636,15328,17560,11222,6644,936,557,876,645,863,490,457,988,547,566,374,214,228848,627
"205026","TUBO COM FILME DE POLIESTER RETRATIL LAMINADO E FALSO TECIDO - TRAMARETRATIL-F 130C Ø 5,00mm",11422,8168,15947,19279,19159,17303,16444,39324,11884,16429,18496,16655,381,263,514,643,618,577,530,1269,424,530,617,537,210510,577
"401085","PORCA F MQ UNC SEXT. 1/4 (CH7/16) ZI (NSC)",34253,9859,13297,15234,15053,10577,7109,25061,9934,18041,25359,9236,1142,318,429,508,486,353,229,808,355,582,845,298,193013,529
"701161","PARAFUSO PAN CRUZ 3,5MMX14MM (FABR. AGL) - BRUTO",0,0,27899,0,0,0,0,44873,0,27497,0,88109,0,0,900,0,0,0,0,1448,0,887,0,2842,188378,516
"101309","CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMRW CANECA PLASTICA 30UF 250V 50",9475,8711,16946,17774,17400,15649,15318,37421,5628,12626,17294,13908,316,281,547,592,561,522,494,1207,201,407,576,449,188150,515
"412094","NI-RT SAE-060 AGL P24 04P COM ALETA",8637,8168,15977,15507,16522,15340,15414,37381,8686,13339,18716,13631,288,263,515,517,533,511,497,1206,310,430,624,440,187318,513
"412093","PS-ST SAE-060 S/TRAT AGL 24,0MM (SOMENTE MOTOR P/ INDUSTRIALIZAÇÃO)",8637,8168,15977,15507,16522,15340,15414,37581,8162,13339,18716,13631,288,263,515,517,533,511,497,1212,292,430,624,440,186994,512
"203004","LINGOTE DE ALUMINIO LIGA 306",13449,17346,16871,12595,19657,15547,17651,18199,12667,18661,17221,6800,448,560,544,420,634,518,569,587,452,602,574,219,186663,511
"811861","ETIQUETA ADES. BOPP FOSCO 40MM X 15MM X 02 CAR LARANJA",8167,7948,15474,15067,16067,14862,15018,36132,4194,12004,15420,12232,272,256,499,502,518,495,484,1166,150,387,514,395,172585,473
"103865","PROTETOR TERMICO 170C° CABO AM 80X230",7056,7056,14112,14448,14725,14196,14364,35280,7056,10584,15923,12768,235,228,455,482,475,473,463,1138,252,341,531,412,167568,459
"103512","TERMINAL FASTON FEMEA 6,3MM RETO",17224,16336,31894,31014,32694,16400,2090,3552,2212,4146,5146,1714,574,527,1029,1034,1055,547,67,115,79,134,172,55,164422,450
"701198","ARRUELA LISA M6 - BRUTO",0,38340,0,7120,38814,0,0,0,29256,50744,0,0,0,1237,0,237,1252,0,0,0,1045,1637,0,0,164274,450
"100802","TRANSMISSOR 433MHZ REMOTE - MODELO: AGL-E2  (DIGITAL KEY 6P20 BLACK)",15278,12138,16938,14994,17520,12198,9926,19242,12196,13822,10352,6164,509,392,546,500,565,407,320,621,436,446,345,199,160768,440
"103097","TERMINAL ESPADA P/ TRANSFORMADORES (EXCETO SEG E CERCA)",43680,24276,30240,41130,0,0,0,0,0,0,0,0,1456,783,975,1371,0,0,0,0,0,0,0,0,139326,382
"401160","PARAFUSO MQ HXL M5 X 16MM RI T25 ZBR",17124,3128,11256,14370,11676,11040,6896,12396,6228,14078,8568,7584,571,101,363,479,377,368,222,400,222,454,286,245,124344,341
"100817","SENSOR REED SWITCH (MODELO FLEX-14 1315)",1260,1322,1640,2066,6370,22530,6118,19186,16890,23850,16666,5490,42,43,53,69,205,751,197,619,603,769,556,177,123388,338
"402019","PINO ELÁSTICO 4 X 24MM",10427,9462,11866,11259,14247,10219,8076,15407,9487,11084,7269,4193,348,305,383,375,460,341,261,497,339,358,242,135,122996,337
"813051","SUPORTE FIM DE CURSO BASCULANTE",1260,1220,1540,1866,6350,22520,6114,19181,16864,23790,16662,5530,42,39,50,62,205,751,197,619,602,767,555,178,122897,337
