,Departamento,Unnamed: 1,DescriÃ§Ã£o,SeÃ§Ã£o,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Estoque mÃ­nimo,Estoque MÃ¡ximo,Curva,Unnamed: 17,Estoque min,Estoque max,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Carteira
2,MOTORES,2001028,"CREMALHEIRA RESIDENCIAL 0,50 METRO GOMO ALUM MOD 4",BARRA DENTADA,3168,-1918,-1918,-1918,-1918,-4018,-4018,-4118,-4118,-4118,-7960,-15643,A,1332,3842,11525,0,0,0,0,0,0,,0x17
3,MOTORES,2001015,"CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO ALUM MOD 4",BARRA DENTADA,0,-1784,-1884,-1884,-2334,-3056,-3076,-3176,-3176,-3176,-4963,-8538,A,265,1787,5362,0,0,0,0,0,0,,0x17
6,MOTORES,2001018,"CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO PLÃSTICO MOD 4",BARRA DENTADA,0,-1446,-1486,-1486,-1695,-2760,-2960,-2960,-2960,-2960,-4816,-8527,A,450,1856,5567,0,0,0,0,0,0,,
33,MOTORES,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÃ 3 220V SEM ACIONAMENTO - DUPLO,PIVOTANTES DUPLOS,0,-136,-139,-139,-154,-255,-255,-255,-255,-255,-325,-466,C,149,70,211,0,0,0,0,0,0,,0x17
35,MOTORES,2001345,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ LOG,DESLIZANTE LOG,0,-124,-124,-124,-124,-124,-124,-124,-124,-124,-182,-299,C,226,58,175,0,0,0,0,0,0,,0x17
36,MOTORES,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÃ 3 127V SEM ACIONAMENTO - DUPLO,PIVOTANTES DUPLOS,0,-122,-125,-125,-125,-226,-226,-226,-226,-226,-264,-340,C,8,38,114,0,0,0,0,0,0,,0x17
39,MOTORES,2001031,CONJ. MOVIMENTADOR TRINO 300 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,-100,-100,-100,-120,-142,-142,-147,-147,-147,-343,-735,A,100,196,588,0,0,0,0,0,0,,
42,MOTORES,2007088,CONJUNTO MOVIMENTADOR TRINO PIVÃ 3 220V SEM ACIONAMENTO,PIVOTANTES SIMPLES,0,-75,-75,-75,-75,-94,-94,-94,-94,-94,-115,-156,C,8,21,62,0,0,0,0,0,0,,0x17
48,MOTORES,2013503,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 3,0M",ACIONAMENTOS DE MOTORES,0,-55,-61,-61,-72,-82,-82,-71,-71,-71,-100,-158,B,29,29,87,0,0,0,0,0,1,,0x17
62,MOTORES,2007086,CONJUNTO MOVIMENTADOR TRINO PIVÃ 3 127V SEM ACIONAMENTO,PIVOTANTES SIMPLES,0,-39,-42,-42,-44,-78,-78,-78,-78,-78,-92,-119,C,25,14,41,0,0,0,0,0,0,,
74,MOTORES,2008528,"ACIONAMENTO MOVIMENTADOR TRINO NEW BV 2,0M",ACIONAMENTOS DE MOTORES,0,-26,-26,-26,-29,-29,-34,-34,-34,-34,-73,-150,B,8,39,116,0,0,0,0,0,0,,
79,MOTORES,2013504,"ACIONAMENTO MOVIMENTADOR TRINO DESLIZANTE HORIZONTAL 3,5M",ACIONAMENTOS DE MOTORES,0,-22,-22,-22,-28,-33,-33,-33,-33,-33,-52,-89,B,6,19,56,0,0,0,0,0,0,,0x17
96,MOTORES,2009011,CONJ. MOVIMENTADOR INTELIGENTE - IZZY PIVO ROBÃ STRONG 220V 50-60HZ,PIVOTANTES ROBÃ,0,-12,-12,-12,-12,-16,-16,-16,-16,-16,-16,-16,C,0,0,0,0,0,0,0,0,0,,0x17
