"Column1","Column2","Column3","Column4","Column5"
"701232","EIXO DA ROLDANA BV CADENA - BRUTO","202045","AÇO RED TREF SAE 1020 12.00","0,034"
"701233","EIXO DE TRAÇÃO DA PORCA ACIONADORA - BRUTO","202043","AÇO RED TREF SAE 1020 15,88","0,0875"
"701234","CHAPA DE TRAÇÃO DA CORRENTE BV CADENA - BRUTO","201121","CHAPA AÇO P012K SAE1012/A36 - 4,75 X 1200 X 2000MM","0,062"
"701235","BATENTE MECÂNICO BV CADENA - BRUTO","201121","CHAPA AÇO P012K SAE1012/A36 - 4,75 X 1200 X 2000MM","0,05"
"701250","MANCAL TENSIONADOR BV CADENA - BRUTO","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,122"
"813474","EIXO DA ROLDANA BV CADENA - ZINCADO","701232","EIXO DA ROLDANA BV CADENA - BRUTO","1"
"813475","MANCAL TENSIONADOR BV CADENA - ZINCADO","701250","MANCAL TENSIONADOR BV CADENA - BRUTO","1"
"813476","TAMPA DO PERFIL BV CADENA","201073","CZN 1,95 x 1200 N7008 ZC Z100 CT","0,085"
"813477","EIXO DE TRAÇÃO DA PORCA ACIONADORA BV CADENA - ZINCADO","701233","EIXO DE TRAÇÃO DA PORCA ACIONADORA BV CADENA - BRUTO","1"
"813479","CHAPA DE TRAÇÃO DA CORRENTE BV CADENA - ZINCADA","701234","CHAPA DE TRAÇÃO DA CORRENTE BV CADENA - BRUTO","1"
"813481","BATENTE MECÂNICO BV CADENA - ZINCADA","701235","BATENTE MECÂNICO BV CADENA - BRUTO","1"
"813482","PERFIL ENRIJECIDO 75X40X2 PARA BV CADENA 1,5M","201073","CZN 1,95 x 1200 N7008 ZC Z100 CT","4,237"
"813484","PERFIL ENRIJECIDO 75X40X2 PARA BV CADENA 2,0M","201073","CZN 1,95 x 1200 N7008 ZC Z100 CT","5,649333333333334"
"813493","PERFIL ENRIJECIDO 75X40X2 PARA BV CADENA 2,5M","201073","CZN 1,95 x 1200 N7008 ZC Z100 CT","7,061666666666667"
"813494","PERFIL ENRIJECIDO 75X40X2 PARA BV CADENA 3,0M","201073","CZN 1,95 x 1200 N7008 ZC Z100 CT","8,474"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","813472","ROLDANA DE NYLON DO BV CADENA - PEÇA FÊMEA","1"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","813473","ROLDANA DE NYLON DO BV CADENA - PEÇA MACHO","1"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","402015","ANEL ELÁSTICO E12","2"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","701232","EIXO DA ROLDANA BV CADENA - BRUTO","1"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","813475","MANCAL TENSIONADOR BV CADENA - ZINCADO","1"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","401077","PORCA F MET SEXTAVADA M10 (CH17) ZI","2"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","401190","PARAFUSO MET SX RI M10 X 100MM ZI","1"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","813476","TAMPA DO PERFIL BV CADENA","1"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","401163","PARAFUSO PLASTIC PAN PHS 5 X 12MM ZI","4"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","813477","EIXO DE TRAÇÃO DA PORCA ACIONADORA - ZINCADO","1"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","813478","PORCA ACIONADORA BV CADENA - PEÇA TRASEIRA","1"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","813479","CHAPA DE TRAÇÃO DA CORRENTE BV CADENA - ZINCADA","1"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","401108","PARAFUSO PLASTIC PAN PHS 5 X 25MM ZI","5"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","813480","PORCA ACIONADORA BV CADENA - PEÇA FRONTAL","1"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","813481","BATENTE MECÂNICO BV CADENA - ZINCADA","4"
"2008572","ACIONAMENTO PARA MOVIMENTADOR BV CADENA 1,5M","401227","PARAFUSO CAB FRANCESA C/ PORCA 1/4 X 5/8 ZI","6"
