"Column1","Column2","Column3","Column4","Column5"
"401108","PARAFUSO PLASTIC PAN PHS 5 X 25MM ZI","707038","PARAFUSO PLASTIC PAN PHS 5 X 25MM - BRUTO","1"
"701146","EIXO DE TRAÇÃO DO BASCULANTE - BRUTO (MODELO ANTIGO)","202043","AÇO RED TREF SAE 1020 15,88","0,0875"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","401164","PARAFUSO MQ UNC SX RI 1/4 X 1/2 ZI","4"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","813623","FIM DE CURSO MECANICO DE ALUMÍNIO","2"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","813275","FUSO P 7.5MM DE 1,4M E 4 ENTRADAS BV","1"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","501084","GRAXA BRANCA SACHE 15G","1"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","208004","IMÃ DE FERRITE - B20X13X5MM","2"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","813048","MANCAL PERFIL SUPERIOR BV","1"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","813398","PERFIL AL 1,4M SOL 7 STLF-0864 6063","1"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","813277","ROLAMENTO PLÁSTICO DO FUSO BV","1"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","401163","PARAFUSO PLASTIC PAN PHS 5 X 12MM ZI","5"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","813262","ACOPLAMENTO DO NEW BV/BV/PIVO","1"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","813054","MANCAL PERFIL INFERIOR","1"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","402012","ANEL ELÁSTICO E-20","2"
"2008516","ACIONAMENTO MOVIMENTADOR TRINO BV 1,4M","701147","EIXO PRINCIPAL DO ACIONAMENTO BV/PIVO - BRUTO","1"
