"Column1","Column2","Column3","Column4","Column5"
"401136","PARAFUSO PAN CRUZ 3,5MMX14MM (FABR. AGL) - ZINCADO","701161","PARAFUSO PAN CRUZ 3,5MMX14MM (FABR. AGL) - BRUTO","1"
"401198","PARAFUSO PLASTIC FLANG PHILLIPS 4 X 10 ZB - ZINCADO","701160","PARAFUSO PLASTIC FLANG PHILLIPS 4 X 10 ZB - BRUTO","1"
"701160","PARAFUSO PLASTIC FLANG PHILLIPS 4 X 10 ZB - BRUTO","202015","AR. BTC RECOZIDO RETREFILADO C/ ALUMINIO","0.0011"
"701161","PARAFUSO PAN CRUZ 3,5MMX14MM (FABR. AGL) - BRUTO","202011","AR. RECOZIDO RETREFILADO PL22 02,80MM","0.001147"
"701162","TRAVA MAIOR SUPORTE FX PIVO - BRUTO","201062","BARRA CH. 1.1/4X3/16 - 6,00M - 1006/1022","0.173"
"701163","TRAVA MENOR SUPORTE FX PIVO - BRUTO","201062","BARRA CH. 1.1/4X3/16 - 6,00M - 1006/1022","0.1"
"701164","PINO TRAVA PIVO - BRUTO","202043","AÇO RED TREF SAE 1020 15,88","0.06665"
"701196","EIXO PRINCIPAL DO PIVOTANTE - BRUTO","205016","TUBO EM AÇO COM DIÂMETRO DE 20MM DE AÇO COMUM - SIZE OD*ID (MM) - 20.5*13 ASTM A106 GR.B","0.2242320819112628"
"701231","CRUZETA DO MANCAL (AÇO) - BRUTO","201144","CHAPA AÇO SAE1006 - 3,0 X 1200 X 2000MM","0.051"
"813015","FIM DE CURSO MECANICO - ZINCADO","701145","FIM DE CURSO MECANICO - BRUTO","1"
"813167","FUSO P 7.5MM DE 0,50M E 4 ENTRADAS BV","202045","AÇO RED TREF SAE 1020 12.00","0.409"
"813181","FUSO P 7.5MM DE 0,50M E 2 ENTRADAS","202045","AÇO RED TREF SAE 1020 12.00","0.3934072813531353"
"813182","FUSO P 7.5MM DE 0,75M E 2 ENTRADAS","202045","AÇO RED TREF SAE 1020 12.00","0.5981482750896057"
"813183","FUSO P 7.5MM DE 1,0M E 2 ENTRADAS","202045","AÇO RED TREF SAE 1020 12.00","0.8121956776322793"
"813184","FUSO P 7.5MM DE 1,5M E 2 ENTRADAS","202045","AÇO RED TREF SAE 1020 12.00","1.2140633306274176"
"813185","FUSO P 7.5MM DE 2,0M E 2 ENTRADAS","202045","AÇO RED TREF SAE 1020 12.00","1.692074328400582"
"813270","CARCAÇA DE MOTOR BV/PIVO SUPERIOR","203004","LINGOTE DE ALUMINIO LIGA 306","0.392"
"813271","CARCAÇA DE MOTOR BV/PIVO INFERIOR","203004","LINGOTE DE ALUMINIO LIGA 306","0.41"
"813280","CRUZETA DO MANCAL","201144","CHAPA AÇO SAE1006 - 3,0 X 1200 X 2000MM","0.115"
"813310","CILINDRO CHAVE PIVO","203004","LINGOTE DE ALUMINIO LIGA 306","0.014"
"813311","CHAVE PIVO","203004","LINGOTE DE ALUMINIO LIGA 306","0.01"
"813318","ARRUELA EM T","201044","CHAPA AÇO SAE1006 - 2,0 X 1200 X 2000MM","0.02"
"813319","TRAVA MAIOR SUPORTE FX PIVO - ZINCADO","701162","TRAVA MAIOR SUPORTE FX PIVO - BRUTO","1"
"813320","TRAVA MENOR SUPORTE FX PIVO - ZINCADO","701163","TRAVA MENOR SUPORTE FX PIVO - BRUTO","1"
"813321","PINO TRAVA PIVO - ZINCADO","701164","PINO TRAVA PIVO - BRUTO","1"
"813334","EIXO AGL BV / PIVO 27,6 - 34,8","202033","AÇO RED TREF SAE 1020 12.70","0.21662802252401456"
"813456","CHAVETA 6MMX30MM PIVO","202084","FERRO RED. LISO MECÂNICO 1/4 X 6M","0.008"
"813458","TUBO DE INOX CORTADO PARA PIVO 0,50M","411048","TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO","0.46"
"813459","TUBO DE INOX CORTADO PARA PIVO 0,75M","411048","TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO","0.71"
