"Column1","Column2","Column3","Column4","Column5"
"701165","GABINETE DA CANCELA - BRUTO","201115","CZN 1,55 x 1200 x 3000 N7008 ZC Z100 CT","14.929"
"701165","GABINETE DA CANCELA - BRUTO","701168","SUPORTE DO MOTOR - CANCELA","1"
"701165","GABINETE DA CANCELA - BRUTO","701169","BASE DO GABINETE - CANCELA","1"
"701165","GABINETE DA CANCELA - BRUTO","401077","PORCA F MET SEXTAVADA M10 (CH17) ZI","6"
"701167","SUPORTE DA BARREIRA BRUTO - CANCELA","701218","MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA","1"
"701167","SUPORTE DA BARREIRA BRUTO - CANCELA","701219","CHAPA EM U DO SUPORTE DA BARREIRA","1"
"701168","SUPORTE DO MOTOR - CANCELA","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","1.168"
"701169","BASE DO GABINETE - CANCELA","201121","CHAPA AÇO P012K SAE1012/A36 - 4,75 X 1200 X 2000MM","2.219"
"701170","SUPORTE DAS FONTES CANCELA AGUSTA - BRUTO","201115","CZN 1,55 x 1200 x 3000 N7008 ZC Z100 CT","0.948"
"701171","PORTA DO GABINETE CANCELA - BRUTO","201115","CZN 1,55 x 1200 x 3000 N7008 ZC Z100 CT","3"
"701218","MANCAL DE JUNÇÃO DO SUPORTE DA BARREIRA","202082","AÇO RED TREF SAE 1020 2"" 1/2","0.6"
"701219","CHAPA EM U DO SUPORTE DA BARREIRA","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0.805"
"701246","EIXO DE CONEXÃO DE MOLA DUPLA DA CANCELA AGUSTA - BRUTO","202026","AÇO RED TREF SAE 1020 25.40 SAE J403","0.213"
"701247","CHAPA EM U DO SUPORTE DA BARREIRA (MODELO FIX. MACHO E FÊMEA) - BRUTO","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0.818"
"701253","SUPORTE DAS BATERIAS CANCELA AGUSTA - BRUTO","201115","CZN 1,55 x 1200 x 3000 N7008 ZC Z100 CT","0.526"
"801219","GABINETE DA CANCELA - CINZA","701165","GABINETE DA CANCELA - BRUTO","1"
"801219","GABINETE DA CANCELA - CINZA","510022","TINTA CINZA GRAFITE POLIESTER TEXTURIZADO C-3920","0.28137937762169546"
"801220","GABINETE DA CANCELA - BRANCA","701165","GABINETE DA CANCELA - BRUTO","1"
"801220","GABINETE DA CANCELA - BRANCA","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0.05"
"801223","SUPORTE DA BARREIRA CINZA - CANCELA","701167","SUPORTE DA BARREIRA BRUTO - CANCELA","1"
