"Column1","Column2","Column3","Column4","Column5"
"813128","GOMO ALUMINIO 25 CM P/ CREMALHEIRA MOTOR STRONG","203004","LINGOTE DE ALUMINIO LIGA 306","0,173"
"401162","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25","701220","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25 (FABR. AGL) - BRUTO","1"
"701220","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25 (FABR. AGL) - BRUTO","202016","AR. BTC RECOZIDO RETREFILADO C/ ALUMINIO 03,85MM","0,0021333333333333"
"813101","CREMALHEIRA PERFIL AÇO GOMO DE ALUMÍNIO 1,5M","105008","FITA DE ARQUEAR 10X0,65 AZUL C/ 3000","0,021"
"813129","CREMALHEIRA PERFIL AÇO GOMO DE PLÁSTICO 1,5M","105008","FITA DE ARQUEAR 10X0,65 AZUL C/ 3000","0,021"
"813375","CANTONEIRA CREMALHEIRA MOTOR INDUSTRIAL","201073","CZN 1,95 x 1200 N7008 ZC Z100 CT","0,798"
"813525","EIXO ESTAMPADO PARA MOTOR TRINO LIGHT/300 - ZINCADO","201134","BOBINA AÇO GALV. SAE1006 - 2,3 X 162MM","0,184"
"2001015","CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO ALUM MOD 4","813146","GOMO 25CM P/ CREMALHEIRA ALUMÍNIO","6"
"2001015","CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO ALUM MOD 4","401007","PARAFUSO 4.8 X 13 A/A PN. PH - ZI","18"
"2001015","CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO ALUM MOD 4","201066","ROLO ZINCADO 1,25X50 NBR-7008-ZC","0,631"
"2001015","CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO ALUM MOD 4","105008","FITA DE ARQUEAR 10X0,65 AZUL C/ 3000","0,021"
"2001016","CREMALHEIRA RESIDENCIAL 1 METRO GOMO ALUM MOD 4","813146","GOMO 25CM P/ CREMALHEIRA ALUMÍNIO","4"
"2001016","CREMALHEIRA RESIDENCIAL 1 METRO GOMO ALUM MOD 4","401007","PARAFUSO 4.8 X 13 A/A PN. PH - ZI","12"
"2001016","CREMALHEIRA RESIDENCIAL 1 METRO GOMO ALUM MOD 4","201066","ROLO ZINCADO 1,25X50 NBR-7008-ZC","0,424"
"2001016","CREMALHEIRA RESIDENCIAL 1 METRO GOMO ALUM MOD 4","105008","FITA DE ARQUEAR 10X0,65 AZUL C/ 3000","0,021"
"2001018","CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO PLÁSTICO MOD 4","401163","PARAFUSO PLASTIC PAN PHS 5 X 12MM ZI","18"
"2001018","CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO PLÁSTICO MOD 4","201066","ROLO ZINCADO 1,25X50 NBR-7008-ZC","0,631"
"2001018","CREMALHEIRA RESIDENCIAL 1,5 METRO GOMO PLÁSTICO MOD 4","105008","FITA DE ARQUEAR 10X0,65 AZUL C/ 3000","0,0222"
"2001019","CREMALHEIRA RESIDENCIAL 1 METRO GOMO PLÁSTICO MOD 4","401163","PARAFUSO PLASTIC PAN PHS 5 X 12MM ZI","12"
"2001019","CREMALHEIRA RESIDENCIAL 1 METRO GOMO PLÁSTICO MOD 4","201066","ROLO ZINCADO 1,25X50 NBR-7008-ZC","0,424"
"2001019","CREMALHEIRA RESIDENCIAL 1 METRO GOMO PLÁSTICO MOD 4","105008","FITA DE ARQUEAR 10X0,65 AZUL C/ 3000","0,0222"
