"Column1","Column2","Column3","Column4","Column5"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","412044","PS-ST SAE-060 C/TRAT AGL 27,6MM (SOMENTE MOTOR P/ INDUSTRIALIZAÇÃO)","1"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","412051","NI-RT SAE-060 AGL P27,6 04P COM ALETA","1"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","105019","FITA POLIESTER BRANCA MW 250 X 0011","0,004"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","813382","EIXO Ø12,70 X 154,10 P/ TANQUINHO","1"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","105049","FITA POLIESTER BRANCA MW 250 X 0041","0,009"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","205024","TUBO COM FILME DE POLIESTER RETRATIL LAMINADO E FALSO TECIDO - TRAMARETRATIL-F 130C Ø 4,00mm","2"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","205026","TUBO COM FILME DE POLIESTER RETRATIL LAMINADO E FALSO TECIDO - TRAMARETRATIL-F 130C Ø 5,00mm","1"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","103098","TERMINAL EMENDA ESG. C/ ESTRIAS ESCA LONADAS / PASSO 8.0","3"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","103788","FIO DE POLIESTER TORCIDO","0,0019"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","103790","FIO ALUMÍNIO PARA BOBINAR 23 AWG","0,112"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","103783","FIO ALUMÍNIO PARA BOBINAR 24 AWG","0,112"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","105018","CREPE KRAFT P792A 45X50","0,25"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","401025","PARAFUSO MQ PN HXL T25 TMA 5X40 PS BC","4"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","402038","ANEL ELASTICO ML12","2"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","411017","ROLAMENTOS 6201-08 ZZ C3","2"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","813531","ARANHA SUPERIOR TANQUINHO MODELO NOVO M5","2"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","101309","CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMRW CANECA PLASTICA 30UF 250V 50","1"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","401121","ABRAÇADEIRA UV PRETA 202X3,7","1"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","811314","ETIQUETA BOPP FOSCO 40X15X02 BRANCA","1"
"412029","CJ ESTATOR ROTOR AGL P28 1/4 cv 04 42Z 127V 60Hz (TQ FIX BASE PLASTICA)","103505","CABO EPR 130ºC 750V 0,50MM PRETO","0,24"
"412097","CJ ESTATOR ROTOR AGL P17 1/7 cv 04 42Z 220V 60HZ (TQ LAVE MAIS)","412069","PS-ST SAE-060 C/TRAT AGL 16,8MM (SOMENTE MOTOR P/ INDUSTRIALIZAÇÃO)","1"
"412097","CJ ESTATOR ROTOR AGL P17 1/7 cv 04 42Z 220V 60HZ (TQ LAVE MAIS)","412090","NI-RT SAE-060 AGL P16,8 04P COM ALETA","1"
"412097","CJ ESTATOR ROTOR AGL P17 1/7 cv 04 42Z 220V 60HZ (TQ LAVE MAIS)","105019","FITA POLIESTER BRANCA MW 250 X 0011","0,004"
"412097","CJ ESTATOR ROTOR AGL P17 1/7 cv 04 42Z 220V 60HZ (TQ LAVE MAIS)","813392","EIXO AGL Ø12,70 X 148,20 P/ TANQUINHO","1"
"412097","CJ ESTATOR ROTOR AGL P17 1/7 cv 04 42Z 220V 60HZ (TQ LAVE MAIS)","105020","FITA POLIESTER BRANCA MW 250 X 0030","0,009"
"412097","CJ ESTATOR ROTOR AGL P17 1/7 cv 04 42Z 220V 60HZ (TQ LAVE MAIS)","205024","TUBO COM FILME DE POLIESTER RETRATIL LAMINADO E FALSO TECIDO - TRAMARETRATIL-F 130C Ø 4,00mm","2"
"412097","CJ ESTATOR ROTOR AGL P17 1/7 cv 04 42Z 220V 60HZ (TQ LAVE MAIS)","205026","TUBO COM FILME DE POLIESTER RETRATIL LAMINADO E FALSO TECIDO - TRAMARETRATIL-F 130C Ø 5,00mm","1"
"412097","CJ ESTATOR ROTOR AGL P17 1/7 cv 04 42Z 220V 60HZ (TQ LAVE MAIS)","103098","TERMINAL EMENDA ESG. C/ ESTRIAS ESCA LONADAS / PASSO 8.0","3"
