"Column1","Column2","Column3","Column4","Column5"
"813463","ACOPLAMENTO FUSO 1/4 MOTOR SOLAR","205016","TUBO EM AÇO COM DIÂMETRO DE 20MM DE AÇO COMUM - SIZE OD*ID (MM) - 20.5*13 ASTM A106 GR.B","0,067"
"813465","TUBO DE INOX CORTADO PARA PIVO 1,20M","205015","TUBO 304 A554 C/C 25,40 X 3,00MM POLIDO","1,152"
"813495","TUBO DE INOX CORTADO PARA SOLAR 1,0M","205015","TUBO 304 A554 C/C 25,40 X 3,00MM POLIDO","0,9"
"813496","PORCA INTERNA INTERNA DO TUBO","202058","AÇO RED TREF SAE 1020 31.00","0,046"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","412163","ROTOR AGL NEW BV P39","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","412151","ESTATOR BOBINADO AGL NEW BV P39 04 42Z 220V 60HZ","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","402012","ANEL ELÁSTICO E-20","3"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","103131","CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L500 BOX (BLK-PH-3P L500)","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","101553","SENSOR EFEITO HALL AH3781-P-B 0,30W HALL LATCH SWITCH SIP-3 BULK (AH3781-P-B)","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","402018","ESPAGUETE LISO 10MMX150MM","0,15"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","813265","CARCAÇA SUPERIOR NEW BV","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","813259","CARCAÇA INFERIOR NEW BV COM FURO ENCODER","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","813266","TAMPA ENCODER","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","813267","SUPORTE ENCODER","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","402034","ANEL DE RETENÇÃO ORING INTERNO 14MM X 2,6MM","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","701155","EIXO PRINCIPAL DO NEW BV - BRUTO","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","813234","CHAVETA 8MMX33,4MM","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","510027","INLUB GRAX MP 2/TI","0,012"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","411015","ROLAMENTOS 6004 ZZ","2"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","804430","CAPA DO ROLAMENTO DOS MOTORES","2"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","411017","ROLAMENTOS 6201-08 ZZ C3","2"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","813253","SEM FIM DE 1 ENTRADA AÇO","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","402019","PINO ELÁSTICO 4 X 24MM","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","401161","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 20MM T25","6"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","401208","PA MQ PN HXL T25 TMA 5X12 RI ZB","8"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","402013","RETENTOR GR 20X30X7 TC GTOP","2"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","813100","ENGRENAGEM INTERNA DE ZAMAC DO DESLIZANTE TRINO 700/900 1 ENTRADA 300/500/SOFT","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","208006","ANEL ENCODER - ROUND MAGNET","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","813467","SUPORTE ORELHA C/ FURO FECHADO CANCELA LIGHT/SOLAR","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","401199","PORCA PARLOCK MA 6MM ZB","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","411039","TARUGO PE CINZA 10 mm","1"
"2014019","KIT REPOSIÇÃO DO MOVIMENTADOR DE PLACA SOLAR","811276","ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR","1"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","401136","PARAFUSO PAN CRUZ 3,5MMX14MM (FABR. AGL) - ZINCADO","6"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","804518","PORCA DO FUSO LISA PARA MOTOR SOLAR","1"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","813317","MANCAL SUPERIOR DO PIVO","1"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","208004","IMÃ DE FERRITE - B20X13X5MM","1"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","401224","GRAXEIRA RETA M6 X 1,0 - ACO ZINCADO","1"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","813600","SENSOR DE FIM DE CURSO REED BV/NEW BV/PIVO 1,0M","4"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","401069","PARAFUSO 2 9X13MM A/A PAN PHS ZI","16"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","813495","TUBO DE INOX CORTADO PARA SOLAR 1,0M","1"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","201038","PERFIL AL SOL 7 STLF-0864 6063","2,2192693333333335"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","813463","ACOPLAMENTO FUSO 1/4 MOTOR SOLAR","1"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","813464","FUSO P 1/4 DE 1,0M PORCA LISA MOTOR SOLAR","1"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","813496","PORCA INTERNA DO TUBO","1"
"2014020","KIT REPOSIÇÃO DO ACIONADOR DE PLACA SOLAR 1,0M","811276","ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR","1"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","401136","PARAFUSO PAN CRUZ 3,5MMX14MM (FABR. AGL) - ZINCADO","6"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","804518","PORCA DO FUSO LISA PARA MOTOR SOLAR","1"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","813317","MANCAL SUPERIOR DO PIVO","1"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","208004","IMÃ DE FERRITE - B20X13X5MM","1"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","401224","GRAXEIRA RETA M6 X 1,0 - ACO ZINCADO","1"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","100817","SENSOR REED SWITCH (MODELO FLEX-14 1315)","6"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","103144","CABO CONECTOR TERMINAL WHITE WIRE BLK-4P 1800/650 BOX (BLK-4P 1800/650)","4"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","813051","SUPORTE FIM DE CURSO BASCULANTE","8"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","401069","PARAFUSO 2 9X13MM A/A PAN PHS ZI","16"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","813465","TUBO DE INOX CORTADO PARA PIVO 1,20M","1"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","201038","PERFIL AL SOL 7 STLF-0864 6063","2,6631232000000002"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","813463","ACOPLAMENTO FUSO 1/4 MOTOR SOLAR","1"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","813581","FUSO P 1/4 DE 1,2M PORCA LISA MOTOR SOLAR","1"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","813496","PORCA INTERNA DO TUBO","1"
"2014021","KIT REPOSIÇÃO ACIONAMENTO SOLAR 1,20M","811276","ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR","1"
"2014022","PERFIL GROSSO PARA KIT MOTOR SOLAR 1,0M","201038","PERFIL AL SOL 7 STLF-0864 6063","2,2192693333333335"
"2014022","PERFIL GROSSO PARA KIT MOTOR SOLAR 1,0M","201038","PERFIL AL SOL 7 STLF-0864 6063","2,6631232000000002"
"2014022","PERFIL GROSSO PARA KIT MOTOR SOLAR 1,0M","811276","ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR","1"
"2014024","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,2M","102573","BOBINA TUBULAR PEBD LEITOSA IMPRESA P/ ACIONAMENTO DE MOTORES","0,0987428571428571"
"2014024","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,2M","811276","ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR","1"
"2014024","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,2M","401068","ARRUELA LISA 1/4 FE ZI","4"
"2014024","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,2M","401085","PORCA F MQ UNC SEXT. 1/4 (CH7/16) ZI (NSC)","4"
"2014024","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,2M","401115","PARAFUSO MQ UNC SXT RI 1/4 X 1.1/4 - ZI","4"
"2014024","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,2M","201039","PERFIL AL SOL 7 STLF-0846 6063 T5","1,74"
"2014025","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,0M","102573","BOBINA TUBULAR PEBD LEITOSA IMPRESA P/ ACIONAMENTO DE MOTORES","0,082285714"
"2014025","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,0M","811276","ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR","1"
"2014025","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,0M","401068","ARRUELA LISA 1/4 FE ZI","4"
"2014025","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,0M","401085","PORCA F MQ UNC SEXT. 1/4 (CH7/16) ZI (NSC)","4"
"2014025","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,0M","401115","PARAFUSO MQ UNC SXT RI 1/4 X 1.1/4 - ZI","4"
"2014025","KIT TAMPA DE PROTEÇÃO DO PERFIL MOTOR SOLAR 1,0M","201039","PERFIL AL SOL 7 STLF-0846 6063 T5","1,45"
