"Column1","Column2","Column3","Column4","Column5"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","804508","COROA DO MOVIMENTADOR BV/PIVO NYLON Ø 20MM","7"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","811276","ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR","1"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813054","MANCAL PERFIL INFERIOR","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813262","ACOPLAMENTO DO NEW BV/BV/PIVO","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813042","EIXO PRINCIPAL DO PIVOTANTE - ZINCADO","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","402012","ANEL ELÁSTICO E-20","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813280","CRUZETA DO MANCAL","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","403049","MOLA PARA DESTRAVAMENTO PIVOTANTE","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","401157","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 30MM T25","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","401095","PARAFUSO MET SXT RI M6-1.00MA X 20 ZI","8"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813309","PINO DESTRAVAMENTO PIVO","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813281","SUPORTE ORELHA DO BV/PIVÔ","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813172","BUCHA DE APOIO DO EIXO NO SUPORTE ORELHA","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813521","SUPORTE DA BUCHA MANCAL MODELO NOVO (P/ EIXO 20MM)","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813310","CILINDRO CHAVE PIVO","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813311","CHAVE PIVO","2"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","401031","ARRUELA LISA M6","8"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813623","FIM DE CURSO MECANICO DE ALUMÍNIO","5"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813234","CHAVETA 8MMX33,4MM","1"
"1013507","KIT MANUTENÇÃO DE MOTOR PIVOTANTE","813321","PINO TRAVA PIVO - ZINCADO","2"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","813094","ENGRENAGEM INTERNA DE 1 ENTRADA DZ E NEWBV","3"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","811541","SACO PLASTICO TRANSPARENTE 30CM X 15CM","3"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","811276","ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR","1"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","813247","ENGRENAGEM 2 ENTRADAS NEW BV COM IMÃ","3"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","813305","PORCA DO FUSO DE 6 ENTRADAS Ø 1/2''","2"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","813041","EIXO DE TRAÇÃO DO BASCULANTE (MODELO ANTIGO)","2"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","208004","IMÃ DE FERRITE - B20X13X5MM","4"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","811541","SACO PLASTICO TRANSPARENTE 30CM X 15CM","2"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","813623","FIM DE CURSO MECANICO DE ALUMÍNIO","5"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","811505","SACO PLASTICO TRANSPARENTE 14CM X 9CM","5"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","103145","CABO CONECTOR TERMINAL WHITE WIRE BLK-4P 2300/650 BOX (BLK-4P 2300/650)","5"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","813022","SUPORTE PARA SENSOR REED DUPLO NEW","10"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","100817","SENSOR REED SWITCH (MODELO FLEX-14 1315)","10"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","401069","PARAFUSO 2 9X13MM A/A PAN PHS ZI","10"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","813306","SUPORTE ORELHA DO NEW BV","3"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","401208","PA MQ PN HXL T25 TMA 5X12 RI ZB","12"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","813048","MANCAL PERFIL SUPERIOR BV","5"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","813277","ROLAMENTO PLÁSTICO DO FUSO BV","5"
"1013508","KIT MANUTENÇÃO DO MOTOR NEW BV","811541","SACO PLASTICO TRANSPARENTE 30CM X 15CM","5"
