"Column1","Column2","Column3","Column4","Column5"
"1015619","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,0m","804256","ACABAMENTO PERFIL BARREIRA S/ FURO","1,9453125"
"1015619","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,0m","804118","BORRACHA PASSANTE","1"
"1015619","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,0m","401207","PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI","4"
"1015619","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,0m","707019","BUCHA REDONDA FECHADURA PV - BRUTO","6"
"1015619","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,0m","401162","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25","6"
"1015619","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,0m","411048","TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO","0,4"
"1015619","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,0m","811320","RL PELICULA ADESIVA REFLETIVA GRAU COMERCIAL VERMELHO (62CMX20M)","0,099996"
"1015620","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,5m","804256","ACABAMENTO PERFIL BARREIRA S/ FURO","2"
"1015620","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,5m","804118","BORRACHA PASSANTE","1"
"1015620","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,5m","401207","PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI","4"
"1015620","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,5m","707019","BUCHA REDONDA FECHADURA PV - BRUTO","6"
"1015620","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,5m","401162","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25","6"
"1015620","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,5m","411048","TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO","0,4"
"1015620","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,5m","811320","RL PELICULA ADESIVA REFLETIVA GRAU COMERCIAL VERMELHO (62CMX20M)","0,116662"
"1015621","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,0m","804256","ACABAMENTO PERFIL BARREIRA S/ FURO","2"
"1015621","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,0m","804118","BORRACHA PASSANTE","1"
"1015621","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,0m","401207","PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI","4"
"1015621","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,0m","707019","BUCHA REDONDA FECHADURA PV - BRUTO","6"
"1015621","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,0m","401162","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25","6"
"1015621","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,0m","411048","TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO","0,4"
"1015621","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,0m","811320","RL PELICULA ADESIVA REFLETIVA GRAU COMERCIAL VERMELHO (62CMX20M)","0,133328"
"1015622","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,5m","804256","ACABAMENTO PERFIL BARREIRA S/ FURO","2"
"1015622","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,5m","804118","BORRACHA PASSANTE","1"
"1015622","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,5m","401207","PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI","4"
"1015622","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,5m","707019","BUCHA REDONDA FECHADURA PV - BRUTO","6"
"1015622","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,5m","401162","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25","6"
"1015622","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,5m","411048","TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO","0,4"
"1015622","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,5m","811320","RL PELICULA ADESIVA REFLETIVA GRAU COMERCIAL VERMELHO (62CMX20M)","0,14999400000000002"
"1015622","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,5m","813569","PERFIL AL 4,5M STL 1851 CANCELAS","1"
"1015623","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,0m","804256","ACABAMENTO PERFIL BARREIRA S/ FURO","2"
"1015623","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,0m","804118","BORRACHA PASSANTE","1"
"1015623","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,0m","401207","PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI","4"
"1015623","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,0m","707019","BUCHA REDONDA FECHADURA PV - BRUTO","6"
"1015623","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,0m","401162","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25","6"
"1015623","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,0m","411048","TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO","0,4"
"1015623","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,0m","811320","RL PELICULA ADESIVA REFLETIVA GRAU COMERCIAL VERMELHO (62CMX20M)","0,16666"
"1015623","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,0m","813570","PERFIL AL 5,0M STL 1851 CANCELAS","1"
"1015624","BARREIRA BIPARTIDA LOG  PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,5m","804256","ACABAMENTO PERFIL BARREIRA S/ FURO","2"
"1015624","BARREIRA BIPARTIDA LOG  PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,5m","804118","BORRACHA PASSANTE","1"
"1015624","BARREIRA BIPARTIDA LOG  PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,5m","401207","PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI","4"
"1015624","BARREIRA BIPARTIDA LOG  PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,5m","707019","BUCHA REDONDA FECHADURA PV - BRUTO","6"
"1015624","BARREIRA BIPARTIDA LOG  PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,5m","401162","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25","6"
"1015624","BARREIRA BIPARTIDA LOG  PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,5m","411048","TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO","0,4"
"1015624","BARREIRA BIPARTIDA LOG  PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,5m","811320","RL PELICULA ADESIVA REFLETIVA GRAU COMERCIAL VERMELHO (62CMX20M)","0,183326"
"1015624","BARREIRA BIPARTIDA LOG  PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 5,5m","813572","PERFIL AL 6,0M STL 1851 CANCELAS","0,91667"
"1015625","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 6,0m","804256","ACABAMENTO PERFIL BARREIRA S/ FURO","2"
"1015625","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 6,0m","804118","BORRACHA PASSANTE","1"
"1015625","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 6,0m","401207","PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI","4"
"1015625","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 6,0m","707019","BUCHA REDONDA FECHADURA PV - BRUTO","6"
"1015625","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 6,0m","401162","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 25MM T25","6"
"1015625","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 6,0m","411048","TUBO 304 A554 C/C 25,40 X 1,20MM POLIDO","0,4"
"1015625","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 6,0m","811320","RL PELICULA ADESIVA REFLETIVA GRAU COMERCIAL VERMELHO (62CMX20M)","0,199992"
"1015625","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 6,0m","813572","PERFIL AL 6,0M STL 1851 CANCELAS","1"
"1015619","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,0m","813614","PERFIL AL 5,0M SOL 7 STLF-0846 6063 T14","1"
"1015620","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 3,5m","813616","PERFIL AL 3,5M STL 1851 CANCELAS","1"
"1015621","BARREIRA BIPARTIDA LOG PARA CANCELA AGUSTA BRUSHLESS AGL DC SEM LED - 4,0m","813568","PERFIL AL 4,0M STL 1851 CANCELAS","1"
