"Column1","Column2","Column3","Column4","Column5"
"701264","EIXO PRINCIPAL DO PIVO ROBÔ","202026","AÇO RED TREF SAE 1020 25.40 SAE J403","0,652"
"813620","EIXO PRINCIPAL DO PIVO ROBÔ - ZINCADO","701264","EIXO PRINCIPAL DO PIVO ROBÔ","1"
"701265","BASE DA CHAPA DE FIXAÇÃO DA PIVO ROBÔ - BRUTO","201025","BOBINA AÇO SAE1006 - 1,5 X 93,0MM","0,83"
"701266","BUCHA DE REDUÇÃO DA RODA PIVO ROBÔ - BRUTO","202082","AÇO RED TREF SAE 1020 2"" 1/2","0,188"
"701267","BUCHA DO EIXO DO FIM DE CURSO PIVO ROBÔ - BRUTO","201025","BOBINA AÇO SAE1006 - 1,5 X 93,0MM","0,107"
"701268","CHAPA DE FIXAÇÃO DA PIVO ROBÔ - BRUTO","201025","BOBINA AÇO SAE1006 - 1,5 X 93,0MM","2,129"
"701269","CHAPA EM U DO FIM DE CURSO PIVO ROBÔ - BRUTO","201025","BOBINA AÇO SAE1006 - 1,5 X 93,0MM","0,825"
"701270","EIXO DA CHAPA EM U DO FIM DE CURSO PIVO ROBÔ - BRUTO","201025","BOBINA AÇO SAE1006 - 1,5 X 93,0MM","0,153"
"701271","JUNÇÃO POSICIONADORA PIVO ROBÔ - BRUTO - ZINCADO","201025","BOBINA AÇO SAE1006 - 1,5 X 93,0MM","0,761"
"701272","ARRUELA DA BUCHA DE REDUÇÃO DA PIVO ROBÔ - BRUTO","202082","AÇO RED TREF SAE 1020 2"" 1/2","0,03"
"701273","BRAÇO PRIMÁRIO DE ARTICULAÇÃO DO FIM DE CURSO ROBÔ - BRUTO","201121","CHAPA AÇO P012K SAE1012/A36 - 4,75 X 1200 X 2000MM","0,209"
"701274","BRAÇO SECUNDÁRIO DE ARTICULAÇÃO DO FIM DE CURSO PIVO ROBÔ - BRUTO","201121","CHAPA AÇO P012K SAE1012/A36 - 4,75 X 1200 X 2000MM","0,218"
"804553","CAME DE FIM DE CURSO DO PIVO ROBÔ","301038","Nylon 6.0 30% Preto Pepasa","0,04"
"813542","CHAPA EM U DO FIM DE CURSO PIVO ROBÔ - ZINCADA","701269","CHAPA EM U DO FIM DE CURSO PIVO ROBÔ - BRUTO","1"
"813543","BRAÇO PRIMÁRIO DE ARTICULAÇÃO DO FIM DE CURSO ROBÔ - ZINCADO","701273","BRAÇO PRIMÁRIO DE ARTICULAÇÃO DO FIM DE CURSO ROBÔ - BRUTO","1"
"813544","BRAÇO SECUNDÁRIO DE ARTICULAÇÃO DO FIM DE CURSO PIVO ROBÔ - ZINCADO","701274","BRAÇO SECUNDÁRIO DE ARTICULAÇÃO DO FIM DE CURSO PIVO ROBÔ - BRUTO","1"
"813545","EIXO DA CHAPA EM U DO FIM DE CURSO PIVO ROBÔ - ZINCADO","701270","EIXO DA CHAPA EM U DO FIM DE CURSO PIVO ROBÔ - BRUTO","1"
"813546","BUCHA DO EIXO DO FIM DE CURSO PIVO ROBÔ - ZINCADO","701267","BUCHA DO EIXO DO FIM DE CURSO PIVO ROBÔ - BRUTO","1"
"813547","BASE DA CHAPA DE FIXAÇÃO DA PIVO ROBÔ - ZINCADO","701265","BASE DA CHAPA DE FIXAÇÃO DA PIVO ROBÔ - BRUTO","1"
"813548","CHAPA DE FIXAÇÃO DA PIVO ROBÔ - ZINCADO","701268","CHAPA DE FIXAÇÃO DA PIVO ROBÔ - BRUTO","1"
"813549","JUNÇÃO POSICIONADORA PIVO ROBÔ - ZINCADO","701271","JUNÇÃO POSICIONADORA PIVO ROBÔ - BRUTO - ZINCADO","1"
"813550","BUCHA DE REDUÇÃO DA RODA PIVO ROBÔ - ZINCADO","701266","BUCHA DE REDUÇÃO DA RODA PIVO ROBÔ - BRUTO","1"
"813555","BRAÇO ARTICULADO DO PIVO ROBÔ - ZINCADO","813543","BRAÇO PRIMÁRIO DE ARTICULAÇÃO DO FIM DE CURSO ROBÔ - ZINCADO","1"
"813555","BRAÇO ARTICULADO DO PIVO ROBÔ - ZINCADO","813544","BRAÇO SECUNDÁRIO DE ARTICULAÇÃO DO FIM DE CURSO PIVO ROBÔ - ZINCADO","1"
"813555","BRAÇO ARTICULADO DO PIVO ROBÔ - ZINCADO","813283","CANTONEIRA SUPORTE FIX. BV E NEW BV","1"
"813555","BRAÇO ARTICULADO DO PIVO ROBÔ - ZINCADO","813286","PINO DAS TRAVAS SUPORTE FX. BV/NEW BV/HZ","2"
"813556","ARRUELA DA BUCHA DE REDUÇÃO DA PIVO ROBÔ - ZINCADO","701272","ARRUELA DA BUCHA DE REDUÇÃO DA PIVO ROBÔ - BRUTO","1"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","101311","CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMRW CANECA PLASTICA 50uf 250V 50","1"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","103064","CONECTOR FÊMEA EC601V-5.08-3P GREEN BAG/BULK (EC601V-5.08-3P)","1"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","103130","CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L180 BOX (BLK-PH-3P L180)","1"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","208003","IMÃ DE FERRITE - B40X20X10MM","2"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","208006","ANEL ENCODER - ROUND MAGNET","1"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","401006","PARAFUSO 4.8 X 19 PN. PH - ZI","2"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","401014","PARAFUSO 2.9 X 6.5 A/A PAN PHS ZI","8"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","401044","PARAFUSO A/A PAN PHS 2.9 X 9.5","1"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","401121","ABRAÇADEIRA UV PRETA 202X3,7","1"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","401143","ABRAÇADEIRA UV PRETA 100 X 2,5","1"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","401161","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 20MM T25","9"
"2009006","CONJ. MOVIMENTADOR PIVO ROBÔ STRONG 127V 50-60HZ","401169","PF JMP PAN PHS 3,5X14MM ZI","4"
