"Column1","Column2","Column3","Column4","Column5"
"813534","TAMPA LATERAL ESQUERDA PARA PORTA SOCIAL 2M","201016","CHAPA AÇO SAE1006 - 1,5 X 1200","0.422"
"401263","PEGA VIDRO PORTA SOCIAL - BRANCO NL-0071F P8"" 1 FURO","401261","PEGA VIDRO PARA PORTA SOCIAL NL-0071F P8"" 1 FURO","1"
"401275","PEGA VIDRO PORTA SOCIAL - PRETO NL-0071F P8"" 1 FURO","401261","PEGA VIDRO PARA PORTA SOCIAL NL-0071F P8"" 1 FURO","1"
"401278","PEGA VIDRO PORTA SOCIAL - ANODIZADO NL-0071F P8"" 1 FURO","401261","PEGA VIDRO PARA PORTA SOCIAL NL-0071F P8"" 1 FURO","1"
"401289","PEGA VIDRO PORTA SOCIAL - BRANCO - 2,2M - NL-0071F P8"" 1 FURO","401263","PEGA VIDRO PORTA SOCIAL - BRANCO NL-0071F P8"" 1 FURO","1.277"
"401290","PEGA VIDRO PORTA SOCIAL - BRANCO - 3,3M - NL-0071F P8"" 1 FURO","401263","PEGA VIDRO PORTA SOCIAL - BRANCO NL-0071F P8"" 1 FURO","1.9154999999999975"
"401291","PEGA VIDRO PORTA SOCIAL - BRANCO - 4,4M - NL-0071F P8"" 1 FURO","401263","PEGA VIDRO PORTA SOCIAL - BRANCO NL-0071F P8"" 1 FURO","2.43790909090909"
"401292","PEGA VIDRO PORTA SOCIAL - BRANCO - 6,0M - NL-0071F P8"" 1 FURO","401263","PEGA VIDRO PORTA SOCIAL - BRANCO NL-0071F P8"" 1 FURO","3.48272727272725"
"401293","PEGA VIDRO PORTA SOCIAL - PRETO - 2,2M - NL-0071F P8"" 1 FURO","401275","PEGA VIDRO PORTA SOCIAL - PRETO NL-0071F P8"" 1 FURO","1.277"
"401294","PEGA VIDRO PORTA SOCIAL - PRETO - 3,3M - NL-0071F P8"" 1 FURO","401275","PEGA VIDRO PORTA SOCIAL - PRETO NL-0071F P8"" 1 FURO","1.9154999999999975"
"401295","PEGA VIDRO PORTA SOCIAL - PRETO - 4,4M - NL-0071F P8"" 1 FURO","401275","PEGA VIDRO PORTA SOCIAL - PRETO NL-0071F P8"" 1 FURO","2.43790909090909"
"401296","PEGA VIDRO PORTA SOCIAL - PRETO - 6,0M - NL-0071F P8"" 1 FURO","401275","PEGA VIDRO PORTA SOCIAL - PRETO NL-0071F P8"" 1 FURO","3.48272727272725"
"401297","PEGA VIDRO PORTA SOCIAL - ANODIZADO - 2,2M - NL-0071F P8"" 1 FURO","401278","PEGA VIDRO PORTA SOCIAL - ANODIZADO NL-0071F P8"" 1 FURO","1.277"
"401298","PEGA VIDRO PORTA SOCIAL - ANODIZADO - 3,3M - NL-0071F P8"" 1 FURO","401278","PEGA VIDRO PORTA SOCIAL - ANODIZADO NL-0071F P8"" 1 FURO","1.9154999999999975"
"401299","PEGA VIDRO PORTA SOCIAL - ANODIZADO - 4,4M - NL-0071F P8"" 1 FURO","401278","PEGA VIDRO PORTA SOCIAL - ANODIZADO NL-0071F P8"" 1 FURO","2.43790909090909"
"401300","PEGA VIDRO PORTA SOCIAL - ANODIZADO - 6,0M - NL-0071F P8"" 1 FURO","401278","PEGA VIDRO PORTA SOCIAL - ANODIZADO NL-0071F P8"" 1 FURO","3.48272727272725"
"401304","PERFIL PRINCIPAL DE SUPORTE DO MOTOR DA PORTA SOCIAL - ANODIZADO - 2,2M - NL-0072F P8"" 1 Furo","401276","PERFIL PRINCIPAL DE SUPORTE DO MOTOR DA PORTA SOCIAL - ANODIZADO NL-0072F P8"" 1 Furo","4.995"
"401305","PERFIL PRINCIPAL DE SUPORTE DO MOTOR DA PORTA SOCIAL - ANODIZADO - 3,3M - NL-0072F P8"" 1 Furo","401276","PERFIL PRINCIPAL DE SUPORTE DO MOTOR DA PORTA SOCIAL - ANODIZADO NL-0072F P8"" 1 Furo","7.492499999999999"
