"Column1","Column2","Column3","Column4","Column5"
"401031","ARRUELA LISA M6 ZI","701198","ARRUELA LISA M6 - BRUTO","1"
"701198","ARRUELA LISA M6 - BRUTO","201012","CHAPA AÇO SAE1006 - 1,2 X 1200 X 2000MM","0,00113"
"701223","GABINETE METÁLICO 3U - BRUTO","201019","CHAPA AÇO SAE 1006 - 0,45 X 1200","2,416"
"701223","GABINETE METÁLICO 3U - BRUTO","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,026"
"701224","GABINETE METÁLICO 5U - BRUTO","201019","CHAPA AÇO SAE 1006 - 0,45 X 1200","2,68"
"701224","GABINETE METÁLICO 5U - BRUTO","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,026"
"701225","GABINETE VERTICAL - BRUTO","201019","CHAPA AÇO SAE 1006 - 0,45 X 1200","1,358"
"701225","GABINETE VERTICAL - BRUTO","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,026"
"701249","PRATELEIRA PARA RACK CFTV PADRÃO- BRUTO","201016","CHAPA AÇO SAE1006 - 1,5 X 1200","1,26"
"701258","TAMPA GABINETE 3U - BRUTA","201019","CHAPA AÇO SAE 1006 - 0,45 X 1200","0,302"
"701259","TAMPA GABINETE 5U - BRUTA","201019","CHAPA AÇO SAE 1006 - 0,45 X 1200","0,419"
"701260","TAMPA GABINETE VERTICAL - BRUTA","201019","CHAPA AÇO SAE 1006 - 0,45 X 1200","0,624"
"701261","CANTONEIRA GABINETE VERTICAL - BRUTA","201019","CHAPA AÇO SAE 1006 - 0,45 X 1200","0,06"
"701289","PLAQUETA DE ABERTURA GABINETES CFTV 44MM X 14,3MM - BRUTO","201115","CZN 1,55 x 1200 x 3000 N7008 ZC Z100 CT","0,007"
"801257","GABINETE METÁLICO 3U - PRETO","510028","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,1"
"801257","GABINETE METÁLICO 3U - PRETO","701223","GABINETE METÁLICO 3U - BRUTO","1"
"801258","GABINETE METÁLICO 5U - PRETO","510028","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,12"
"801258","GABINETE METÁLICO 5U - PRETO","701224","GABINETE METÁLICO 5U - BRUTO","1"
"801259","GABINETE VERTICAL - PRETO","510028","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,117"
"801259","GABINETE VERTICAL - PRETO","701225","GABINETE VERTICAL - BRUTO","1"
"801260","GABINETE VERTICAL - BRANCO","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,117"
"801260","GABINETE VERTICAL - BRANCO","701225","GABINETE VERTICAL - BRUTO","1"
"801263","GABINETE METÁLICO 5U - BRANCO","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,15"
"801263","GABINETE METÁLICO 5U - BRANCO","701224","GABINETE METÁLICO 5U - BRUTO","1"
"801264","GABINETE METÁLICO 3U - BRANCO","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,1"
"801264","GABINETE METÁLICO 3U - BRANCO","701223","GABINETE METÁLICO 3U - BRUTO","1"
"801268","PRATELEIRA PARA RACK CFTV PADRÃO - PRETA","510028","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,01"
"801268","PRATELEIRA PARA RACK CFTV PADRÃO - PRETA","701249","PRATELEIRA PARA RACK CFTV PADRÃO- BRUTO","1"
"801269","PRATELEIRA PARA RACK CFTV PADRÃO - BRANCA","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,12"
"801269","PRATELEIRA PARA RACK CFTV PADRÃO - BRANCA","701249","PRATELEIRA PARA RACK CFTV PADRÃO- BRUTO","1"
"801288","TAMPA GABINETE 3U - PRETA","510028","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,025"
"801288","TAMPA GABINETE 3U - PRETA","701258","TAMPA GABINETE 3U - BRUTA","1"
"801289","TAMPA GABINETE 5U - PRETA","510028","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,03"
"801289","TAMPA GABINETE 5U - PRETA","701259","TAMPA GABINETE 5U - BRUTA","1"
"801290","TAMPA GABINETE VERTICAL - PRETA","510028","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,025"
"801290","TAMPA GABINETE VERTICAL - PRETA","701260","TAMPA GABINETE VERTICAL - BRUTA","1"
