"Column1","Column2","Column3","Column4","Column5"
"813566","PERFIL AL 3,0M STL 1851 CANCELAS","813614","PERFIL AL 3,0M STL 1851 CANCELAS","1"
"813567","PERFIL AL 3,5M STL 1851 CANCELAS","813616","PERFIL AL 3,5M STL 1851 CANCELAS","1"
"813568","PERFIL AL 4,0M STL 1851 CANCELAS","813568","PERFIL AL 4,0M STL 1851 CANCELAS","1"
"813569","PERFIL AL 4,5M STL 1851 CANCELAS","813569","PERFIL AL 4,5M STL 1851 CANCELAS","1"
"813570","PERFIL AL 5,0M STL 1851 CANCELAS","813570","PERFIL AL 5,0M STL 1851 CANCELAS","1"
"813571","PERFIL AL 5,5M STL 1851 CANCELAS","813571","PERFIL AL 5,5M STL 1851 CANCELAS","1"
"813572","PERFIL AL 6,0M STL 1851 CANCELAS","813572","PERFIL AL 6,0M STL 1851 CANCELAS","1"
"1015500","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,0m","916325","CANALETA FLEXÍVEL PARA LED DA BARREIRA","2"
"1015500","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,0m","916117","FITA LED 5050 RGB 60 LED S/M IP65 12 V 5M","0,8"
"1015500","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,0m","804118","BORRACHA PASSANTE","1"
"1015500","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,0m","103132","CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L1000 BOX (BLK-PH-3P L1000)","1"
"1015500","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,0m","401109","PF A/A PAN PHS 3,9 X 13MM ZI","4"
"1015500","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,0m","804256","ACABAMENTO PERFIL BARREIRA S/ FURO","2"
"1015500","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,0m","811306","ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR","1"
"1015500","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,0m","813615","PERFIL AL 5,0M SOL 7 STLF-0846 6063 T15","1"
"1015500","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,0m","811320","RL PELICULA ADESIVA REFLETIVA GRAU COMERCIAL VERMELHO (62CMX20M)","0,066664"
"1015501","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,5m","916325","CANALETA FLEXÍVEL PARA LED DA BARREIRA","2,5"
"1015501","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,5m","916117","FITA LED 5050 RGB 60 LED S/M IP65 12 V 5M","1"
"1015501","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,5m","804118","BORRACHA PASSANTE","1"
"1015501","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,5m","103132","CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L1000 BOX (BLK-PH-3P L1000)","1"
"1015501","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,5m","401109","PF A/A PAN PHS 3,9 X 13MM ZI","4"
"1015501","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,5m","804256","ACABAMENTO PERFIL BARREIRA S/ FURO","2"
"1015501","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,5m","811306","ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR","1"
"1015501","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,5m","102573","BOBINA TUBULAR PEBD LEITOSA IMPRESA P/ ACIONAMENTO DE MOTORES","0,2047999999999999"
"1015501","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,5m","813615","PERFIL AL 5,0M SOL 7 STLF-0846 6063 T15","1"
"1015501","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 2,5m","811320","RL PELICULA ADESIVA REFLETIVA GRAU COMERCIAL VERMELHO (62CMX20M)","0,08333"
"1015502","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 3,0m","916325","CANALETA FLEXÍVEL PARA LED DA BARREIRA","3"
"1015502","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 3,0m","916117","FITA LED 5050 RGB 60 LED S/M IP65 12 V 5M","1,2"
"1015502","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 3,0m","804118","BORRACHA PASSANTE","1"
"1015502","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 3,0m","103132","CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L1000 BOX (BLK-PH-3P L1000)","1"
"1015502","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 3,0m","401109","PF A/A PAN PHS 3,9 X 13MM ZI","4"
"1015502","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 3,0m","804256","ACABAMENTO PERFIL BARREIRA S/ FURO","2"
"1015502","BARREIRA CANCELA AGUSTA BRUSHLESS AGL DC COM LED - 3,0m","811306","ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR","1"
