"Column1","Column2","Column3","Column4","Column5"
"2003066","KIT 90 UND INTER. DIGI. DIGITAL KEY 6P20 433,92 2 CANAIS PRETO COM BOTÃO PRETO","100802","TRANSMISSOR 433MHz REMOTE - MODELO: AGL-E2  (DIGITAL KEY 6P20 BLACK)","90"
"412118","ROTOR AGL P24 4 POLOS SUGGAR W.O. REF.","411017","ROLAMENTOS 6201-08 ZZ C3","2"
"412118","ROTOR AGL P24 4 POLOS SUGGAR W.O. REF.","412094","NI-RT SAE-060 AGL P24 04P COM ALETA","1"
"412118","ROTOR AGL P24 4 POLOS SUGGAR W.O. REF.","804615","BUCHA PARA ROLAMENTO MOTORES DESLIZANTES/TANQUINHOS 12MM","2"
"412118","ROTOR AGL P24 4 POLOS SUGGAR W.O. REF.","813497","EIXO AGL P24 Ø12,70 X 143,30  P/ TANQUINHO SUGGAR (LAV ALTA CAP) C/ REBAIXO","1"
"412118","ROTOR AGL P24 4 POLOS SUGGAR W.O. REF.","813498","POLIA DE ALUMINIO 19,63 ESTRIADA SUGGAR","1"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","101890","CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMLW CANECA PLASTICA 25uf 250V","1"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","103098","TERMINAL EMENDA ESG. C/ ESTRIAS ESCA LONADAS / PASSO 8.0","3"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","103781","FIO ALUMINIO 180° 25 AWG - TYPE QZYL-2/180EIW (BOBINAGEM)","0,091"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","103788","FIO DE POLIESTER TORCIDO REF 1100/1/3 CONE (BARBANTE)","0,0019"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","103790","FIO ALUMÍNIO PARA BOBINAR 23 AWG","0,10600000000000001"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","105018","CREPE KRAFT P792A 45X50","0,25"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","105019","FITA POLIESTER BRANCA MW 250 X 0011","0,004"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","105053","FITA POLIESTER BRANCA MW 250 X 0038","0,009000000000000001"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","205024","TRAMARETRATIL- B130C Ø 4,00mm X 30MM TRANSPARENTE COM PONTA 5MM RETRAIDA","2"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","205025","TRAMARETRATIL-F 130C Ø 5,00mm","1"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","401121","ABRAÇADEIRA UV PRETA 202X3,7","1"
"412179","ESTATOR BOBINADO AGL P24 1/7 cv 04 127V 60HZ","412093","PS-ST SAE-060 S/TRAT AGL 24,0MM (SOMENTE MOTOR P/ INDUSTRIALIZAÇÃO)","1"
